epoch,test acc
0,0.1193
1,0.6475
2,0.6829
3,0.6937
4,0.7022
5,0.7016
6,0.7042
7,0.7103
8,0.7106
9,0.7172
10,0.7161
11,0.7183
12,0.7134
13,0.7155
14,0.7189
15,0.7145
16,0.7212
17,0.7211
18,0.7199
19,0.7214
20,0.724
21,0.7205
22,0.7243
23,0.724
24,0.725
25,0.7276
26,0.7238
27,0.7285
28,0.7261
29,0.7267
30,0.7265
31,0.7281
32,0.7292
33,0.7271
34,0.7268
35,0.7264
36,0.7267
37,0.7232
38,0.729
39,0.7307
40,0.7305
41,0.7299
42,0.7315
43,0.7355
44,0.7346
45,0.735
46,0.7367
47,0.7343
48,0.7354
49,0.736
