epoch,test acc
0,0.1193
1,0.6367
2,0.6661
3,0.6773
4,0.6807
5,0.6961
6,0.7011
7,0.7123
8,0.7161
9,0.7177
10,0.7242
11,0.7313
12,0.7382
13,0.7441
14,0.726
15,0.7411
16,0.7447
17,0.7432
18,0.7521
19,0.7473
20,0.7348
21,0.7509
22,0.7584
23,0.7562
24,0.7587
25,0.7768
26,0.7771
27,0.7859
28,0.7792
29,0.7895
30,0.7858
31,0.7883
32,0.7905
33,0.7864
34,0.7861
35,0.7892
36,0.7875
37,0.7934
38,0.7931
39,0.7909
40,0.7934
41,0.7946
42,0.7866
43,0.7977
44,0.7982
45,0.7994
46,0.8005
47,0.8004
48,0.8009
49,0.8017
