epoch,test acc
0,0.1193
1,0.6394
2,0.6676
3,0.6734
4,0.6856
5,0.7075
6,0.7095
7,0.7218
8,0.7217
9,0.7324
10,0.7312
11,0.7419
12,0.7367
13,0.7774
14,0.7758
15,0.7774
16,0.7786
17,0.777
18,0.7832
19,0.7846
20,0.7841
21,0.7852
22,0.7847
23,0.7897
24,0.7863
25,0.7898
26,0.7873
27,0.7897
28,0.7906
29,0.7892
30,0.7891
31,0.7905
32,0.7899
33,0.7923
34,0.7887
35,0.7956
36,0.7911
37,0.7916
38,0.7952
39,0.792
40,0.7943
41,0.7947
42,0.7948
43,0.8017
44,0.8022
45,0.8032
46,0.8041
47,0.8034
48,0.804
49,0.803
