iter,test acc,w diff
0,0.33,2.3154702186584473
1,0.32,2.3090999126434326
2,0.33,2.3024189472198486
3,0.34,2.2957353591918945
4,0.36,2.2890522480010986
5,0.37,2.282370090484619
6,0.37,2.275690793991089
7,0.36,2.2690157890319824
8,0.36,2.262347936630249
9,0.36,2.255903959274292
10,0.36,2.24945330619812
11,0.35,2.2429981231689453
12,0.37,2.2363243103027344
13,0.37,2.229858875274658
14,0.37,2.2233903408050537
15,0.38,2.2169206142425537
16,0.38,2.2104506492614746
17,0.38,2.205505847930908
18,0.38,2.1988136768341064
19,0.38,2.1938064098358154
20,0.38,2.1872808933258057
21,0.38,2.182211399078369
22,0.39,2.1771128177642822
23,0.38,2.1705355644226074
24,0.4,2.1653761863708496
25,0.39,2.1585934162139893
26,0.39,2.151472330093384
27,0.39,2.1462252140045166
28,0.38,2.1395928859710693
29,0.39,2.1342856884002686
30,0.38,2.127462387084961
31,0.38,2.1220977306365967
32,0.39,2.114945888519287
33,0.39,2.1095290184020996
34,0.38,2.1026644706726074
35,0.38,2.0971906185150146
36,0.39,2.090468168258667
37,0.39,2.0833072662353516
38,0.4,2.077756404876709
39,0.39,2.0708653926849365
40,0.39,2.0652616024017334
41,0.4,2.0585052967071533
42,0.4,2.052849054336548
43,0.4,2.045680046081543
44,0.4,2.0387723445892334
45,0.4,2.0330452919006348
46,0.41,2.027296304702759
47,0.4,2.020493984222412
48,0.41,2.0133349895477295
49,0.41,2.0075201988220215
50,0.43,2.000582218170166
51,0.43,1.9947222471237183
52,0.44,1.9879069328308105
53,0.43,1.980768084526062
54,0.45,1.9748470783233643
55,0.45,1.9679126739501953
56,0.45,1.961950421333313
57,0.46,1.954836368560791
58,0.48,1.9479159116744995
59,0.46,1.9418987035751343
60,0.48,1.935081124305725
61,0.47,1.929028034210205
62,0.47,1.9229620695114136
63,0.47,1.916135311126709
64,0.48,1.9090601205825806
65,0.48,1.9021636247634888
66,0.47,1.896030068397522
67,0.47,1.8898870944976807
68,0.48,1.8828537464141846
69,0.47,1.875964641571045
70,0.47,1.869781255722046
71,0.47,1.8629875183105469
72,0.47,1.8567787408828735
73,0.48,1.849800705909729
74,0.48,1.8429527282714844
75,0.48,1.8367109298706055
76,0.49,1.829952359199524
77,0.49,1.8236905336380005
78,0.5,1.8167775869369507
79,0.5,1.8099795579910278
80,0.5,1.8036911487579346
81,0.52,1.79740309715271
82,0.51,1.7906087636947632
83,0.51,1.7837554216384888
84,0.51,1.777061104774475
85,0.51,1.770738124847412
86,0.51,1.7640094757080078
87,0.52,1.7576740980148315
88,0.54,1.750900149345398
89,0.52,1.744256854057312
90,0.54,1.7379108667373657
91,0.53,1.7312397956848145
92,0.53,1.7248868942260742
93,0.54,1.718199610710144
94,0.53,1.7116155624389648
95,0.54,1.705259919166565
96,0.53,1.6986546516418457
97,0.54,1.6922961473464966
98,0.54,1.6857033967971802
99,0.54,1.6791541576385498
100,0.54,1.6727967262268066
101,0.54,1.666300892829895
102,0.54,1.6599485874176025
103,0.53,1.6534738540649414
104,0.54,1.646985650062561
105,0.54,1.6406415700912476
106,0.55,1.6342250108718872
107,0.55,1.6278913021087646
108,0.57,1.6215003728866577
109,0.55,1.6151186227798462
110,0.55,1.6088006496429443
111,0.56,1.6024699211120605
112,0.55,1.596174955368042
113,0.57,1.5898847579956055
114,0.57,1.583585500717163
115,0.55,1.5773537158966064
116,0.57,1.5711286067962646
117,0.57,1.5648537874221802
118,0.57,1.558668851852417
119,0.57,1.5525327920913696
120,0.57,1.5463995933532715
121,0.57,1.540155053138733
122,0.57,1.5340863466262817
123,0.57,1.5280256271362305
124,0.57,1.521811604499817
125,0.57,1.51582670211792
126,0.58,1.5098007917404175
127,0.58,1.5036298036575317
128,0.59,1.4976755380630493
129,0.59,1.4917755126953125
130,0.59,1.4856418371200562
131,0.59,1.4797253608703613
132,0.59,1.473918080329895
133,0.59,1.4680815935134888
134,0.59,1.4619957208633423
135,0.59,1.4561817646026611
136,0.59,1.4501310586929321
137,0.59,1.4444407224655151
138,0.59,1.4387164115905762
139,0.59,1.43308424949646
140,0.59,1.4270985126495361
141,0.59,1.4214558601379395
142,0.59,1.4158986806869507
143,0.59,1.4099626541137695
144,0.59,1.4043418169021606
145,0.59,1.3988786935806274
146,0.59,1.393359661102295
147,0.61,1.3876190185546875
148,0.6,1.3821178674697876
149,0.61,1.376257061958313
150,0.6,1.3703843355178833
151,0.61,1.3646814823150635
152,0.61,1.3592019081115723
153,0.61,1.3533798456192017
154,0.62,1.3475401401519775
155,0.62,1.3418940305709839
156,0.63,1.3365342617034912
157,0.63,1.3311545848846436
158,0.62,1.3255621194839478
159,0.63,1.3202775716781616
160,0.63,1.3145182132720947
161,0.63,1.3087491989135742
162,0.63,1.303205966949463
163,0.63,1.2979161739349365
164,0.63,1.2922056913375854
165,0.63,1.2864787578582764
166,0.63,1.2810002565383911
167,0.63,1.2757824659347534
168,0.63,1.2706760168075562
169,0.63,1.265023946762085
170,0.64,1.2593767642974854
171,0.63,1.253942608833313
172,0.64,1.2488322257995605
173,0.65,1.243453860282898
174,0.64,1.237838625907898
175,0.65,1.2322580814361572
176,0.64,1.2269290685653687
177,0.65,1.2219016551971436
178,0.66,1.2163389921188354
179,0.65,1.2110333442687988
180,0.66,1.2060884237289429
181,0.66,1.2008414268493652
182,0.67,1.1953155994415283
183,0.67,1.1900863647460938
184,0.67,1.1846072673797607
185,0.67,1.1791530847549438
186,0.67,1.1743172407150269
187,0.68,1.1691545248031616
188,0.68,1.1644359827041626
189,0.68,1.1590651273727417
190,0.66,1.1536749601364136
191,0.67,1.1485705375671387
192,0.68,1.1435102224349976
193,0.67,1.1387861967086792
194,0.67,1.133440613746643
195,0.67,1.1284186840057373
196,0.67,1.1231240034103394
197,0.67,1.1181371212005615
198,0.67,1.1135106086730957
