iter,test acc,w diff
0,0.52,1.6824973821640015
1,0.54,1.5425289869308472
2,0.56,1.3873412609100342
3,0.56,1.3873412609100342
4,0.56,1.3873412609100342
5,0.56,1.3873412609100342
6,0.59,1.218700885772705
7,0.61,1.0406051874160767
8,0.61,1.0406051874160767
9,0.61,1.0406051874160767
10,0.69,0.8597668409347534
11,0.74,0.7096511125564575
12,0.79,0.555248498916626
13,0.81,0.4079955816268921
14,0.81,0.3995235562324524
15,0.83,0.27692362666130066
16,0.83,0.19563452899456024
17,0.83,0.1956215798854828
18,0.82,0.173198863863945
19,0.83,0.16667203605175018
20,0.83,0.16301439702510834
21,0.82,0.16057130694389343
22,0.82,0.1587877869606018
23,0.82,0.15741638839244843
24,0.82,0.15741579234600067
25,0.82,0.15632428228855133
26,0.82,0.15632376074790955
27,0.82,0.15543051064014435
28,0.82,0.15543006360530853
29,0.82,0.15542961657047272
30,0.8,0.15468399226665497
31,0.8,0.15468361973762512
32,0.8,0.15405099093914032
33,0.8,0.15350870788097382
34,0.8,0.15303774178028107
35,0.8,0.15262597799301147
36,0.8,0.15262572467327118
37,0.8,0.15262551605701447
38,0.8,0.15262526273727417
39,0.8,0.1526249647140503
40,0.8,0.1522621065378189
41,0.8,0.1519409567117691
42,0.8,0.1516546905040741
43,0.8,0.15139852464199066
44,0.8,0.15116854012012482
45,0.8,0.15116840600967407
46,0.8,0.15096069872379303
47,0.8,0.15077270567417145
48,0.8,0.15060292184352875
49,0.8,0.1506028026342392
50,0.8,0.15044865012168884
51,0.8,0.15030816197395325
52,0.8,0.15018028020858765
53,0.8,0.15006333589553833
54,0.8,0.14995665848255157
55,0.8,0.1499565839767456
56,0.8,0.14995647966861725
57,0.8,0.1499563753604889
58,0.8,0.14985758066177368
59,0.8,0.14976775646209717
60,0.8,0.14968620240688324
61,0.8,0.1496860384941101
62,0.8,0.14968594908714294
63,0.8,0.14961105585098267
64,0.8,0.1495424211025238
65,0.8,0.149479940533638
66,0.8,0.14947988092899323
67,0.8,0.14942263066768646
68,0.8,0.1494225412607193
69,0.8,0.1494225263595581
70,0.8,0.14937031269073486
71,0.8,0.14937026798725128
72,0.8,0.14932218194007874
73,0.8,0.14932207763195038
74,0.8,0.1493220329284668
