iter,test acc,w diff
0,0.28,3.3807263374328613
1,0.28,3.3808367252349854
2,0.28,3.3810577392578125
3,0.28,3.3811137676239014
4,0.28,3.3817241191864014
5,0.28,3.3823375701904297
6,0.28,3.3817226886749268
7,0.28,3.381335735321045
8,0.28,3.3811545372009277
9,0.28,3.3802313804626465
10,0.28,3.3792004585266113
11,0.28,3.3778607845306396
12,0.28,3.379692316055298
13,0.28,3.379215717315674
14,0.28,3.380662679672241
15,0.28,3.380889415740967
16,0.28,3.3802297115325928
17,0.28,3.380436420440674
18,0.28,3.380007743835449
19,0.28,3.379448652267456
20,0.28,3.3774240016937256
21,0.28,3.3752834796905518
22,0.28,3.3743479251861572
23,0.28,3.3738980293273926
24,0.28,3.3737680912017822
25,0.28,3.3721392154693604
26,0.28,3.369953155517578
27,0.28,3.3688549995422363
28,0.28,3.366891384124756
29,0.28,3.366109609603882
30,0.28,3.363687038421631
31,0.28,3.3629543781280518
32,0.28,3.363176107406616
33,0.28,3.363311529159546
34,0.28,3.3641414642333984
35,0.28,3.3638856410980225
36,0.28,3.3616676330566406
37,0.28,3.360367774963379
38,0.28,3.360614776611328
39,0.28,3.3598227500915527
40,0.28,3.3608052730560303
41,0.28,3.359546184539795
42,0.28,3.3602278232574463
43,0.28,3.3625175952911377
44,0.28,3.362924575805664
45,0.28,3.3635244369506836
46,0.28,3.361534357070923
47,0.28,3.3611698150634766
48,0.28,3.359860897064209
49,0.28,3.358531951904297
50,0.28,3.3587770462036133
51,0.28,3.3582653999328613
52,0.28,3.357513666152954
53,0.28,3.356710195541382
54,0.28,3.355724334716797
55,0.28,3.3558685779571533
56,0.28,3.355193853378296
57,0.28,3.35416316986084
58,0.28,3.3548409938812256
59,0.28,3.3548226356506348
60,0.28,3.355470657348633
61,0.28,3.3559646606445312
62,0.28,3.3553409576416016
63,0.28,3.354799509048462
64,0.28,3.354734420776367
65,0.28,3.355076789855957
66,0.28,3.354902982711792
67,0.28,3.3530049324035645
68,0.28,3.352666139602661
69,0.28,3.3507537841796875
70,0.28,3.3504390716552734
71,0.28,3.351520299911499
72,0.28,3.3501267433166504
73,0.28,3.3495981693267822
74,0.28,3.349642753601074
75,0.28,3.349092483520508
76,0.28,3.349174976348877
77,0.28,3.3504831790924072
78,0.28,3.3500473499298096
79,0.28,3.35196590423584
80,0.28,3.352047920227051
81,0.28,3.3506107330322266
82,0.28,3.3516316413879395
83,0.28,3.3523178100585938
84,0.28,3.353551149368286
85,0.28,3.354248285293579
86,0.28,3.3545496463775635
87,0.28,3.3545024394989014
88,0.28,3.354743003845215
89,0.28,3.352786064147949
90,0.28,3.3502275943756104
91,0.28,3.348665475845337
92,0.28,3.347929000854492
93,0.28,3.348557710647583
94,0.28,3.3487439155578613
95,0.28,3.3475377559661865
96,0.28,3.348769187927246
97,0.28,3.3475420475006104
98,0.28,3.3473594188690186
99,0.28,3.346585988998413
100,0.28,3.3458101749420166
101,0.28,3.3454573154449463
102,0.28,3.3467111587524414
103,0.28,3.3450870513916016
104,0.28,3.3431167602539062
105,0.28,3.3438658714294434
106,0.28,3.3422694206237793
107,0.28,3.3409841060638428
108,0.28,3.338998556137085
109,0.28,3.3365776538848877
110,0.28,3.336214303970337
111,0.28,3.3355345726013184
112,0.28,3.3356645107269287
113,0.28,3.33689546585083
114,0.28,3.3357174396514893
115,0.28,3.335792303085327
116,0.28,3.3353052139282227
117,0.28,3.3331027030944824
118,0.28,3.3318045139312744
119,0.28,3.3294544219970703
120,0.28,3.3274261951446533
121,0.28,3.3259384632110596
122,0.28,3.3267881870269775
123,0.28,3.329103708267212
124,0.28,3.3292176723480225
125,0.28,3.3294529914855957
126,0.28,3.329157590866089
127,0.28,3.3278696537017822
128,0.28,3.3262062072753906
129,0.28,3.3239543437957764
130,0.28,3.3223695755004883
131,0.28,3.3214006423950195
132,0.285,3.3208680152893066
133,0.285,3.3206281661987305
134,0.28,3.322641372680664
135,0.285,3.3203651905059814
136,0.285,3.319441795349121
137,0.285,3.3177309036254883
138,0.285,3.316638708114624
139,0.285,3.3160574436187744
140,0.285,3.3138365745544434
141,0.285,3.3122153282165527
142,0.285,3.309950828552246
143,0.285,3.3105921745300293
144,0.285,3.309093713760376
145,0.285,3.3080008029937744
146,0.285,3.3075034618377686
147,0.285,3.307042121887207
148,0.285,3.306133508682251
149,0.285,3.304086685180664
150,0.285,3.305391788482666
151,0.285,3.303220748901367
152,0.285,3.3059449195861816
153,0.285,3.3061792850494385
154,0.285,3.305532932281494
155,0.285,3.304530143737793
156,0.285,3.3069233894348145
157,0.285,3.3043160438537598
158,0.285,3.304492235183716
159,0.285,3.3039779663085938
160,0.285,3.3043272495269775
161,0.285,3.3037447929382324
162,0.285,3.3017876148223877
163,0.285,3.30134654045105
164,0.285,3.3006269931793213
165,0.285,3.298048973083496
166,0.285,3.296894073486328
167,0.285,3.2998838424682617
168,0.285,3.3000011444091797
169,0.285,3.3004884719848633
170,0.285,3.298523187637329
171,0.285,3.2983222007751465
172,0.285,3.2991700172424316
173,0.285,3.2975926399230957
174,0.285,3.2978017330169678
175,0.285,3.2957866191864014
176,0.285,3.295215368270874
177,0.285,3.2940127849578857
178,0.285,3.296872854232788
179,0.285,3.294995069503784
180,0.285,3.296753168106079
181,0.285,3.2948367595672607
182,0.285,3.2935705184936523
183,0.285,3.291195869445801
184,0.285,3.2904913425445557
185,0.285,3.290858507156372
186,0.285,3.2893147468566895
187,0.285,3.2889108657836914
188,0.285,3.289073944091797
189,0.285,3.2890167236328125
190,0.285,3.2873735427856445
191,0.285,3.289853811264038
192,0.285,3.2899396419525146
193,0.285,3.2883803844451904
194,0.285,3.2865378856658936
195,0.285,3.2885708808898926
196,0.285,3.2865288257598877
197,0.285,3.288750410079956
198,0.285,3.2900466918945312
199,0.285,3.2926628589630127
200,0.285,3.2917098999023438
201,0.285,3.2910847663879395
202,0.285,3.2888312339782715
203,0.285,3.2888071537017822
204,0.285,3.290609121322632
205,0.285,3.290694236755371
206,0.285,3.2897303104400635
207,0.285,3.290658712387085
208,0.285,3.2897214889526367
209,0.285,3.28802752494812
210,0.285,3.287348747253418
211,0.285,3.288386821746826
212,0.285,3.288344383239746
213,0.285,3.2883787155151367
