iter,test acc,w diff
0,0.47,2.2647576332092285
1,0.47,2.2579503059387207
2,0.48,2.2509219646453857
3,0.5,2.2436940670013428
4,0.5,2.23629093170166
5,0.48,2.2287471294403076
6,0.51,2.2210986614227295
7,0.45,2.2133867740631104
8,0.51,2.2047524452209473
9,0.48,2.1940176486968994
10,0.49,2.186129093170166
11,0.48,2.1772265434265137
12,0.49,2.166628122329712
13,0.48,2.1576597690582275
14,0.46,2.1469666957855225
15,0.51,2.1379499435424805
16,0.46,2.1296143531799316
17,0.51,2.1205337047576904
18,0.47,2.109651565551758
19,0.53,2.101256847381592
20,0.48,2.091902494430542
21,0.52,2.081254720687866
22,0.48,2.071898937225342
23,0.52,2.061174154281616
24,0.51,2.051835536956787
25,0.48,2.041043281555176
26,0.52,2.031740665435791
27,0.48,2.0228209495544434
28,0.52,2.0135180950164795
29,0.5,2.0026051998138428
30,0.55,1.9937738180160522
31,0.5,1.9842028617858887
32,0.55,1.9736384153366089
33,0.51,1.9641547203063965
34,0.56,1.9535424709320068
35,0.51,1.9441611766815186
36,0.52,1.9335126876831055
37,0.55,1.924593448638916
38,0.54,1.9149622917175293
39,0.57,1.904722809791565
40,0.54,1.89523184299469
41,0.57,1.8849568367004395
42,0.54,1.8756182193756104
43,0.56,1.866500735282898
44,0.54,1.8572521209716797
45,0.57,1.846950888633728
46,0.59,1.8371306657791138
47,0.55,1.8277344703674316
48,0.6,1.818825602531433
49,0.54,1.809550404548645
50,0.58,1.799706220626831
51,0.55,1.7906371355056763
52,0.57,1.7807915210723877
53,0.61,1.7721683979034424
54,0.59,1.7629053592681885
55,0.6,1.7535539865493774
56,0.56,1.744530439376831
57,0.6,1.735172152519226
58,0.56,1.7263892889022827
59,0.61,1.7175121307373047
60,0.57,1.7088680267333984
61,0.59,1.6995751857757568
62,0.57,1.692683458328247
63,0.59,1.6832829713821411
64,0.62,1.674734115600586
65,0.59,1.6659924983978271
66,0.63,1.6571415662765503
67,0.59,1.6499332189559937
68,0.63,1.6409622430801392
69,0.59,1.6337968111038208
70,0.63,1.6250921487808228
71,0.64,1.616545557975769
72,0.6,1.6078935861587524
73,0.63,1.5993483066558838
74,0.59,1.5918917655944824
75,0.63,1.5835018157958984
76,0.59,1.5760586261749268
77,0.63,1.5673173666000366
78,0.6,1.5591609477996826
79,0.62,1.5504554510116577
80,0.65,1.5424381494522095
81,0.62,1.534735083580017
82,0.65,1.5264451503753662
83,0.62,1.5183154344558716
84,0.65,1.5100488662719727
85,0.61,1.5024579763412476
86,0.64,1.4940812587738037
87,0.66,1.4862463474273682
88,0.65,1.4781674146652222
89,0.65,1.4703409671783447
90,0.65,1.4625672101974487
91,0.66,1.4546200037002563
92,0.63,1.4470285177230835
93,0.65,1.4389748573303223
94,0.65,1.431340217590332
95,0.65,1.423543930053711
96,0.65,1.4160388708114624
97,0.65,1.4083151817321777
98,0.66,1.400695562362671
99,0.65,1.3933275938034058
100,0.67,1.3856136798858643
101,0.64,1.3781154155731201
102,0.65,1.3705021142959595
103,0.67,1.3633538484573364
104,0.66,1.3555644750595093
105,0.67,1.348134160041809
106,0.66,1.3409090042114258
107,0.67,1.333713173866272
108,0.67,1.3261356353759766
109,0.66,1.3188366889953613
110,0.67,1.3117468357086182
111,0.67,1.304038643836975
112,0.67,1.2971627712249756
113,0.67,1.2897177934646606
114,0.67,1.2827694416046143
115,0.69,1.2758780717849731
116,0.67,1.268105387687683
117,0.7,1.2611472606658936
118,0.67,1.2536778450012207
119,0.7,1.2469873428344727
120,0.66,1.2395141124725342
121,0.67,1.2327238321304321
122,0.7,1.2260611057281494
123,0.68,1.2193353176116943
124,0.72,1.2130404710769653
125,0.67,1.2057805061340332
126,0.71,1.1982944011688232
127,0.68,1.1911548376083374
128,0.71,1.184354543685913
129,0.69,1.1769624948501587
130,0.7,1.1704875230789185
131,0.72,1.1644337177276611
132,0.67,1.1573450565338135
133,0.71,1.1508556604385376
134,0.72,1.1437618732452393
135,0.71,1.1372324228286743
136,0.71,1.1299808025360107
137,0.71,1.1238257884979248
138,0.72,1.1177135705947876
139,0.71,1.1116042137145996
140,0.72,1.1045223474502563
141,0.71,1.098569631576538
142,0.72,1.092921495437622
143,0.71,1.086023211479187
144,0.71,1.0803070068359375
145,0.73,1.073506474494934
146,0.72,1.0675544738769531
147,0.74,1.0617473125457764
148,0.71,1.0560613870620728
149,0.74,1.049660563468933
150,0.74,1.043938159942627
151,0.74,1.037249207496643
152,0.74,1.030425786972046
153,0.74,1.0251638889312744
154,0.72,1.0181609392166138
155,0.74,1.0123659372329712
156,0.74,1.0074204206466675
157,0.74,1.0007604360580444
158,0.75,0.9957407712936401
159,0.73,0.9889509081840515
160,0.74,0.983835756778717
161,0.75,0.9774282574653625
162,0.75,0.9721238613128662
163,0.75,0.9668702483177185
164,0.75,0.960431694984436
165,0.77,0.9556771516799927
166,0.76,0.9499034285545349
167,0.77,0.9447989463806152
168,0.77,0.9387058019638062
169,0.77,0.9335151314735413
170,0.77,0.927379310131073
171,0.77,0.9222295880317688
172,0.73,0.9162684679031372
173,0.76,0.9116191267967224
174,0.77,0.9068506956100464
175,0.77,0.9022582173347473
176,0.79,0.8962569832801819
177,0.77,0.8915724754333496
178,0.78,0.8854431509971619
179,0.77,0.8807981014251709
180,0.78,0.8753548860549927
181,0.77,0.8706904649734497
182,0.78,0.864825427532196
183,0.77,0.8580207228660583
184,0.77,0.8521853685379028
185,0.78,0.8476337194442749
186,0.74,0.8419773578643799
187,0.8,0.835773229598999
188,0.77,0.8295120000839233
189,0.8,0.8234838247299194
190,0.77,0.8191316723823547
191,0.81,0.8133863806724548
192,0.78,0.8086526393890381
193,0.8,0.80287766456604
194,0.78,0.7980978488922119
195,0.8,0.7925772666931152
196,0.78,0.7878629565238953
197,0.79,0.7820760011672974
198,0.8,0.777798593044281
199,0.78,0.7723528742790222
200,0.79,0.7681467533111572
201,0.76,0.7621264457702637
202,0.8,0.7563957571983337
203,0.76,0.7519726157188416
204,0.8,0.7464939951896667
205,0.78,0.742125391960144
206,0.8,0.7379181385040283
