iter,test acc,w diff
0,0.52,2.242255210876465
1,0.53,2.244946241378784
2,0.52,2.241666793823242
3,0.53,2.237823486328125
4,0.52,2.234274387359619
5,0.52,2.233041286468506
6,0.53,2.2326667308807373
7,0.52,2.2326395511627197
8,0.52,2.2311601638793945
9,0.51,2.2274959087371826
10,0.5,2.2297613620758057
11,0.49,2.228710651397705
12,0.51,2.2259743213653564
13,0.5,2.226125478744507
14,0.52,2.2253763675689697
15,0.49,2.224756956100464
16,0.49,2.223905563354492
17,0.5,2.2226977348327637
18,0.49,2.2236111164093018
19,0.5,2.2202398777008057
20,0.51,2.2153573036193848
21,0.49,2.210533380508423
22,0.49,2.2061946392059326
23,0.52,2.205124855041504
24,0.5,2.2067863941192627
25,0.5,2.2048075199127197
26,0.52,2.199815034866333
27,0.53,2.1986255645751953
28,0.52,2.1967201232910156
29,0.56,2.1911888122558594
30,0.54,2.1910715103149414
31,0.56,2.190351963043213
32,0.57,2.188209056854248
33,0.56,2.1865267753601074
34,0.59,2.183248519897461
35,0.59,2.18100643157959
36,0.58,2.177461862564087
37,0.59,2.1726155281066895
38,0.59,2.169318199157715
39,0.59,2.166152000427246
40,0.59,2.1614274978637695
41,0.56,2.157745599746704
42,0.53,2.1575353145599365
43,0.56,2.1577696800231934
44,0.53,2.1574506759643555
45,0.57,2.1495614051818848
46,0.59,2.1458451747894287
47,0.59,2.1452789306640625
48,0.59,2.1452081203460693
49,0.59,2.144218921661377
50,0.54,2.1454172134399414
51,0.55,2.147758960723877
52,0.53,2.1441378593444824
53,0.53,2.1413636207580566
54,0.54,2.141242742538452
55,0.54,2.1384270191192627
56,0.54,2.1394760608673096
57,0.53,2.1363513469696045
58,0.54,2.135770559310913
59,0.54,2.1340112686157227
60,0.54,2.130467176437378
61,0.53,2.1290674209594727
62,0.55,2.123446464538574
63,0.54,2.120887517929077
64,0.54,2.1237800121307373
65,0.55,2.118706464767456
66,0.54,2.115076780319214
67,0.55,2.10903000831604
68,0.55,2.108292579650879
69,0.55,2.1034066677093506
70,0.55,2.102832317352295
71,0.56,2.100574254989624
72,0.59,2.100440502166748
73,0.59,2.100121259689331
74,0.58,2.0985913276672363
75,0.59,2.0980117321014404
76,0.59,2.0975897312164307
77,0.57,2.0946602821350098
78,0.6,2.0918002128601074
79,0.59,2.086646556854248
80,0.58,2.0889461040496826
81,0.58,2.088560104370117
82,0.59,2.0840210914611816
83,0.57,2.0814247131347656
84,0.58,2.0811257362365723
