iter,test acc,w diff
0,0.5,1.599287748336792
1,0.5,1.5712660551071167
2,0.5,1.54084312915802
3,0.5,1.54084312915802
4,0.5,1.50777006149292
5,0.5,1.50777006149292
6,0.5,1.5077704191207886
7,0.5,1.5077704191207886
8,0.5,1.5077704191207886
9,0.5,1.5077704191207886
10,0.5,1.471798300743103
11,0.5,1.471798300743103
12,0.5,1.4717986583709717
13,0.5,1.4326386451721191
14,0.5,1.4326400756835938
15,0.5,1.3900082111358643
16,0.5,1.390010118484497
17,0.5,1.3900117874145508
18,0.5,1.3437293767929077
19,0.5,1.2937558889389038
20,0.5,1.2937674522399902
21,0.5,1.2937794923782349
22,0.5,1.2937910556793213
23,0.5,1.2938027381896973
24,0.5,1.2402212619781494
25,0.51,1.1833959817886353
26,0.51,1.1834603548049927
27,0.51,1.1835243701934814
28,0.5,1.1835885047912598
29,0.5,1.1836525201797485
30,0.51,1.1242778301239014
31,0.51,1.1244064569473267
32,0.51,1.1245341300964355
33,0.52,1.0637965202331543
34,0.52,1.0640161037445068
35,0.58,1.003466010093689
36,0.65,0.9452207684516907
37,0.71,0.892111599445343
38,0.77,0.8473196625709534
39,0.81,0.8127309083938599
40,0.82,0.8078179955482483
41,0.8,0.8033190965652466
42,0.81,0.7765318751335144
43,0.8,0.757215142250061
44,0.78,0.749498724937439
45,0.8,0.7423756718635559
46,0.82,0.7358121871948242
47,0.79,0.7207357883453369
48,0.81,0.7135984301567078
49,0.82,0.7070317268371582
50,0.81,0.6954585313796997
51,0.82,0.6886350512504578
52,0.83,0.6823880076408386
53,0.82,0.673236608505249
54,0.81,0.6669334173202515
55,0.81,0.6596536636352539
56,0.81,0.6533992886543274
57,0.8,0.6477183699607849
58,0.81,0.6417528390884399
59,0.83,0.6370365619659424
60,0.79,0.633267343044281
61,0.83,0.6268872618675232
62,0.81,0.6211148500442505
63,0.83,0.6177974939346313
64,0.82,0.6122541427612305
65,0.8,0.6072745323181152
66,0.82,0.6042681932449341
67,0.82,0.6017902493476868
68,0.82,0.5997467041015625
69,0.79,0.5980598330497742
70,0.79,0.5966705083847046
71,0.78,0.5955336093902588
72,0.79,0.5893135070800781
73,0.82,0.5837165713310242
74,0.81,0.5787052512168884
75,0.82,0.5773715376853943
76,0.82,0.576264500617981
77,0.81,0.5712804794311523
78,0.79,0.5668408870697021
79,0.79,0.5629088282585144
80,0.79,0.5615004301071167
81,0.8,0.557794451713562
82,0.79,0.556422233581543
83,0.8,0.55293208360672
84,0.81,0.5498744249343872
85,0.78,0.54721599817276
86,0.76,0.5449254512786865
87,0.75,0.5429726243019104
88,0.74,0.5408484935760498
89,0.73,0.5389971137046814
90,0.73,0.5374466180801392
91,0.71,0.5361723303794861
92,0.74,0.5337009429931641
93,0.74,0.5315189361572266
94,0.74,0.5301188230514526
95,0.71,0.5289804339408875
96,0.74,0.5266668796539307
97,0.73,0.5246194005012512
98,0.74,0.5233701467514038
99,0.73,0.5213719010353088
100,0.74,0.5201961398124695
101,0.73,0.5182406902313232
102,0.74,0.516511082649231
103,0.73,0.5152371525764465
104,0.73,0.5135345458984375
105,0.76,0.5120323896408081
106,0.73,0.5106770396232605
107,0.74,0.5095717906951904
108,0.73,0.5086944103240967
109,0.69,0.5080253481864929
110,0.73,0.5060239434242249
111,0.69,0.5053995251655579
112,0.73,0.5034478902816772
113,0.69,0.5028678774833679
114,0.69,0.5024675726890564
115,0.7,0.500396728515625
116,0.69,0.5000279545783997
117,0.7,0.49801549315452576
118,0.73,0.496216744184494
119,0.73,0.49461403489112854
120,0.73,0.493190735578537
121,0.73,0.49247461557388306
122,0.73,0.4919421076774597
123,0.73,0.49039125442504883
124,0.74,0.48901239037513733
125,0.73,0.48841044306755066
126,0.72,0.4879794120788574
127,0.73,0.486477792263031
128,0.74,0.485140323638916
129,0.74,0.48395368456840515
130,0.73,0.4833425283432007
131,0.73,0.48290112614631653
132,0.72,0.482614129781723
133,0.69,0.4824671447277069
134,0.72,0.4808904826641083
135,0.73,0.47947758436203003
136,0.72,0.47926265001296997
137,0.73,0.4778740704059601
138,0.73,0.4766348898410797
139,0.75,0.4755338430404663
140,0.73,0.47516268491744995
141,0.74,0.4740693271160126
142,0.73,0.4737480580806732
143,0.72,0.4735656678676605
144,0.73,0.47235608100891113
145,0.74,0.4712762236595154
146,0.73,0.47104236483573914
147,0.72,0.4709376394748688
148,0.72,0.4697464406490326
149,0.72,0.46967577934265137
150,0.7,0.4697194993495941
151,0.68,0.4698672294616699
152,0.7,0.4684588611125946
153,0.72,0.4671880602836609
154,0.7,0.4672769606113434
155,0.68,0.46746405959129333
156,0.7,0.4661005735397339
157,0.72,0.4648688733577728
158,0.7,0.4649990200996399
159,0.71,0.46378403902053833
160,0.72,0.46268847584724426
161,0.73,0.461704283952713
162,0.72,0.4617098569869995
163,0.73,0.4607296884059906
164,0.74,0.4598503112792969
165,0.74,0.4590640068054199
166,0.75,0.4583645761013031
167,0.74,0.45818525552749634
168,0.74,0.45811909437179565
169,0.71,0.45815637707710266
170,0.71,0.45828813314437866
171,0.71,0.45730605721473694
172,0.71,0.4574607014656067
173,0.71,0.4564846456050873
174,0.71,0.45666080713272095
175,0.71,0.45691734552383423
176,0.71,0.45585718750953674
177,0.71,0.4561295211315155
178,0.71,0.45507970452308655
179,0.71,0.45536699891090393
180,0.71,0.454327791929245
181,0.7,0.45462939143180847
182,0.71,0.45360055565834045
183,0.69,0.4539155960083008
184,0.71,0.4528968930244446
185,0.71,0.4519699513912201
186,0.71,0.4522446393966675
187,0.68,0.45258671045303345
188,0.71,0.4515841603279114
189,0.7,0.45067065954208374
190,0.72,0.4498401880264282
191,0.7,0.4500914514064789
192,0.72,0.44926247000694275
193,0.7,0.4495309889316559
194,0.71,0.4498642683029175
195,0.67,0.4502568542957306
196,0.71,0.4492790102958679
197,0.7,0.44838517904281616
198,0.71,0.4487403631210327
199,0.67,0.4491513967514038
200,0.71,0.4481903314590454
201,0.7,0.4473106563091278
202,0.7,0.4476851522922516
203,0.7,0.4468110501766205
204,0.7,0.4471949636936188
205,0.67,0.4476301968097687
206,0.67,0.44811221957206726
207,0.67,0.4471050500869751
208,0.7,0.4461788237094879
209,0.67,0.4466244578361511
210,0.67,0.4471144676208496
211,0.67,0.44613009691238403
212,0.67,0.4466230869293213
213,0.67,0.4456508159637451
214,0.67,0.44614681601524353
215,0.66,0.4466818869113922
216,0.67,0.4472523629665375
217,0.66,0.44616249203681946
218,0.67,0.44515421986579895
219,0.66,0.4456891715526581
