iter,test acc,w diff
0,0.21,3.5656347274780273
1,0.21,3.5634751319885254
2,0.205,3.561304807662964
3,0.205,3.559121608734131
4,0.205,3.556927442550659
5,0.205,3.5547215938568115
6,0.205,3.5525033473968506
7,0.205,3.550274133682251
8,0.205,3.5480329990386963
9,0.205,3.5457797050476074
10,0.205,3.543515682220459
11,0.205,3.541238307952881
12,0.21,3.5389487743377686
13,0.21,3.5366477966308594
14,0.21,3.534334659576416
15,0.215,3.532008647918701
16,0.21,3.529670476913452
17,0.215,3.5273196697235107
18,0.215,3.5249581336975098
19,0.215,3.522582530975342
20,0.22,3.5201947689056396
21,0.225,3.5177948474884033
22,0.225,3.5153818130493164
23,0.225,3.512955904006958
24,0.225,3.5105185508728027
25,0.225,3.5080678462982178
26,0.225,3.505603313446045
27,0.225,3.503126859664917
28,0.225,3.5006368160247803
29,0.225,3.498133659362793
30,0.225,3.495617389678955
31,0.225,3.493089199066162
32,0.225,3.490546941757202
33,0.225,3.4879915714263916
34,0.225,3.4854230880737305
35,0.225,3.4828402996063232
36,0.225,3.48024582862854
37,0.225,3.4776363372802734
38,0.225,3.4750144481658936
39,0.23,3.4723780155181885
40,0.23,3.469728469848633
41,0.23,3.46706485748291
42,0.23,3.4643874168395996
43,0.23,3.4616971015930176
44,0.23,3.4589920043945312
45,0.23,3.4562735557556152
46,0.23,3.453540563583374
47,0.23,3.450794219970703
48,0.23,3.4480338096618652
49,0.235,3.445258378982544
50,0.235,3.4424684047698975
51,0.235,3.4396653175354004
52,0.24,3.436846971511841
53,0.24,3.4340155124664307
54,0.24,3.431169271469116
55,0.24,3.428307056427002
56,0.24,3.425431728363037
57,0.24,3.422542095184326
58,0.24,3.4196362495422363
59,0.24,3.416717052459717
60,0.24,3.4137825965881348
61,0.25,3.4108338356018066
62,0.25,3.407869815826416
63,0.25,3.4048917293548584
64,0.25,3.4018971920013428
65,0.25,3.3988888263702393
66,0.25,3.3958640098571777
67,0.255,3.3928260803222656
68,0.265,3.3897716999053955
69,0.265,3.386701822280884
70,0.27,3.3836171627044678
71,0.27,3.380516767501831
72,0.27,3.377401113510132
73,0.27,3.3742711544036865
74,0.275,3.371124267578125
75,0.275,3.3679633140563965
76,0.275,3.3647851943969727
77,0.275,3.3615920543670654
78,0.28,3.3583829402923584
79,0.28,3.355159282684326
80,0.28,3.3519201278686523
81,0.285,3.348663330078125
82,0.285,3.3453915119171143
83,0.285,3.3421030044555664
84,0.285,3.3387999534606934
85,0.29,3.335479259490967
86,0.29,3.332143783569336
87,0.29,3.3287930488586426
88,0.29,3.3254241943359375
89,0.295,3.3220407962799072
90,0.295,3.3186399936676025
91,0.3,3.3152239322662354
92,0.3,3.3117904663085938
93,0.3,3.3083407878875732
94,0.3,3.304875373840332
95,0.3,3.3013930320739746
96,0.305,3.2978954315185547
97,0.305,3.294379711151123
98,0.305,3.2908482551574707
99,0.305,3.287299633026123
100,0.305,3.2837350368499756
101,0.305,3.280153512954712
102,0.31,3.2765560150146484
103,0.31,3.2729403972625732
104,0.31,3.26930832862854
105,0.31,3.265660524368286
106,0.31,3.2619946002960205
107,0.31,3.2583131790161133
108,0.31,3.2546138763427734
109,0.31,3.2508978843688965
110,0.31,3.247164726257324
111,0.315,3.2434146404266357
112,0.315,3.23964786529541
113,0.32,3.23586368560791
114,0.325,3.232062816619873
115,0.33,3.2282443046569824
116,0.33,3.224409341812134
117,0.33,3.22055721282959
118,0.33,3.216686964035034
119,0.33,3.2128002643585205
120,0.33,3.2088963985443115
121,0.33,3.204974889755249
122,0.33,3.201035976409912
123,0.33,3.1970794200897217
124,0.33,3.1931071281433105
125,0.33,3.1891164779663086
126,0.335,3.185108184814453
127,0.335,3.1810834407806396
128,0.34,3.1770408153533936
129,0.345,3.172981023788452
130,0.35,3.1689023971557617
131,0.35,3.1648075580596924
132,0.35,3.1606955528259277
133,0.35,3.1565663814544678
134,0.35,3.1524181365966797
135,0.35,3.148254632949829
136,0.35,3.1440718173980713
137,0.35,3.1398723125457764
138,0.35,3.135655403137207
139,0.35,3.131420612335205
140,0.35,3.127168893814087
141,0.355,3.122899293899536
142,0.355,3.1186130046844482
143,0.36,3.114306926727295
144,0.365,3.109985113143921
145,0.37,3.1056458950042725
146,0.37,3.1012895107269287
147,0.375,3.096914768218994
148,0.375,3.092522144317627
149,0.38,3.0881125926971436
150,0.385,3.0836868286132812
151,0.385,3.0792417526245117
152,0.385,3.0747809410095215
153,0.385,3.0703012943267822
154,0.385,3.065805435180664
155,0.385,3.061290979385376
156,0.385,3.056760311126709
157,0.39,3.052211284637451
158,0.39,3.047644853591919
159,0.39,3.0430619716644287
160,0.4,3.038461685180664
161,0.4,3.0338425636291504
162,0.405,3.0292086601257324
163,0.41,3.024554967880249
164,0.41,3.0198862552642822
165,0.41,3.0151991844177246
166,0.41,3.010495185852051
167,0.41,3.005774974822998
168,0.415,3.001037359237671
169,0.415,2.9962821006774902
170,0.415,2.991508960723877
171,0.42,2.986720085144043
172,0.42,2.9819138050079346
173,0.42,2.97709059715271
174,0.42,2.9722516536712646
175,0.42,2.9673945903778076
176,0.42,2.962521553039551
177,0.42,2.9576313495635986
178,0.42,2.952723979949951
179,0.42,2.947801351547241
180,0.42,2.942861318588257
181,0.42,2.9379045963287354
182,0.42,2.932931661605835
183,0.42,2.9279422760009766
184,0.425,2.9229371547698975
185,0.425,2.917915105819702
186,0.43,2.9128763675689697
187,0.43,2.907822370529175
188,0.43,2.9027514457702637
189,0.43,2.8976643085479736
190,0.43,2.892561912536621
191,0.43,2.887444019317627
192,0.43,2.8823087215423584
193,0.43,2.8771584033966064
194,0.43,2.871992826461792
195,0.43,2.8668103218078613
196,0.43,2.861614465713501
197,0.43,2.8564016819000244
198,0.43,2.8511734008789062
199,0.43,2.845930576324463
200,0.43,2.8406715393066406
201,0.43,2.835397958755493
202,0.43,2.830108642578125
203,0.43,2.824805498123169
204,0.43,2.819486141204834
205,0.435,2.814152717590332
206,0.435,2.808804512023926
207,0.44,2.8034415245056152
208,0.44,2.798063039779663
209,0.44,2.7926716804504395
210,0.44,2.7872655391693115
211,0.44,2.7818446159362793
212,0.445,2.7764101028442383
213,0.445,2.770961046218872
214,0.45,2.765498399734497
215,0.45,2.7600209712982178
216,0.45,2.7545318603515625
217,0.45,2.749027729034424
218,0.45,2.7435100078582764
219,0.455,2.7379777431488037
220,0.455,2.7324342727661133
221,0.455,2.726876974105835
222,0.455,2.721306562423706
223,0.455,2.7157227993011475
224,0.46,2.7101268768310547
225,0.46,2.704517126083374
226,0.46,2.6988959312438965
227,0.46,2.6932618618011475
228,0.46,2.687615156173706
229,0.465,2.6819565296173096
230,0.465,2.6762855052948
231,0.465,2.670602560043335
232,0.47,2.6649081707000732
233,0.47,2.6592018604278564
234,0.475,2.653482675552368
235,0.47,2.6477530002593994
236,0.47,2.6420133113861084
237,0.47,2.636260747909546
238,0.47,2.630497932434082
239,0.47,2.6247241497039795
240,0.47,2.618939161300659
241,0.47,2.6131436824798584
242,0.47,2.6073384284973145
243,0.47,2.601522207260132
244,0.47,2.595695734024048
245,0.47,2.5898585319519043
246,0.47,2.584012746810913
247,0.475,2.5781562328338623
248,0.475,2.572291135787964
249,0.475,2.566415786743164
250,0.475,2.5605313777923584
251,0.475,2.554637908935547
252,0.475,2.5487353801727295
253,0.48,2.5428240299224854
254,0.485,2.5369033813476562
255,0.485,2.530974864959717
256,0.485,2.525038480758667
257,0.49,2.5190927982330322
258,0.49,2.513139247894287
259,0.49,2.507178544998169
260,0.49,2.501209259033203
261,0.49,2.4952328205108643
262,0.49,2.4892489910125732
263,0.49,2.48325777053833
264,0.49,2.477259397506714
265,0.49,2.471254587173462
266,0.49,2.465242624282837
267,0.49,2.459224224090576
268,0.49,2.4531993865966797
269,0.49,2.4471685886383057
270,0.495,2.441132068634033
271,0.5,2.435088872909546
272,0.5,2.4290401935577393
273,0.5,2.422985553741455
274,0.5,2.416926383972168
275,0.5,2.4108619689941406
276,0.505,2.404792070388794
277,0.505,2.398717164993286
278,0.51,2.3926374912261963
279,0.52,2.3865537643432617
280,0.52,2.3804657459259033
281,0.52,2.374373197555542
282,0.525,2.368277072906494
283,0.53,2.3621768951416016
284,0.53,2.3560733795166016
285,0.53,2.349965810775757
286,0.53,2.343855857849121
287,0.53,2.3377420902252197
288,0.53,2.3316259384155273
289,0.53,2.3255064487457275
290,0.535,2.3193840980529785
291,0.535,2.313260555267334
292,0.535,2.3071341514587402
293,0.535,2.3010053634643555
294,0.535,2.2948760986328125
295,0.535,2.288743734359741
296,0.545,2.2826104164123535
297,0.545,2.2764761447906494
298,0.545,2.2703399658203125
299,0.545,2.2642033100128174
