iter,test acc,w diff
0,0.165,3.786076545715332
1,0.165,3.785893440246582
2,0.165,3.7854092121124268
3,0.165,3.7847328186035156
4,0.165,3.784795045852661
5,0.165,3.7835233211517334
6,0.165,3.782421827316284
7,0.165,3.780963659286499
8,0.165,3.7815167903900146
9,0.165,3.781740427017212
10,0.165,3.7804300785064697
11,0.165,3.7808728218078613
12,0.165,3.780682325363159
13,0.165,3.7813527584075928
14,0.165,3.781839609146118
15,0.165,3.7816247940063477
16,0.165,3.781484365463257
17,0.165,3.780951738357544
18,0.165,3.781700849533081
19,0.165,3.7817509174346924
20,0.165,3.780721426010132
21,0.165,3.7797951698303223
22,0.165,3.779705762863159
23,0.165,3.7788383960723877
24,0.165,3.778120517730713
25,0.165,3.7771475315093994
26,0.165,3.7769362926483154
27,0.165,3.7753498554229736
28,0.165,3.7739152908325195
29,0.165,3.7740681171417236
30,0.165,3.774104595184326
31,0.165,3.7750134468078613
32,0.165,3.775393486022949
33,0.165,3.774510383605957
34,0.165,3.7733025550842285
35,0.165,3.772204637527466
36,0.165,3.771893262863159
37,0.165,3.771515130996704
38,0.165,3.769821882247925
39,0.165,3.7683279514312744
40,0.165,3.7682788372039795
41,0.165,3.7671282291412354
42,0.165,3.7671291828155518
43,0.165,3.7673537731170654
44,0.165,3.7661056518554688
45,0.165,3.7647061347961426
46,0.165,3.764136791229248
47,0.165,3.7648069858551025
48,0.165,3.764232635498047
49,0.165,3.7640182971954346
50,0.165,3.7635738849639893
51,0.165,3.7635862827301025
52,0.165,3.7630105018615723
53,0.17,3.7626266479492188
54,0.17,3.76212215423584
55,0.17,3.7607297897338867
56,0.17,3.760141372680664
57,0.17,3.759654998779297
58,0.17,3.7590529918670654
59,0.17,3.758101224899292
60,0.17,3.7585926055908203
61,0.17,3.758115291595459
62,0.17,3.758709192276001
63,0.17,3.7574870586395264
64,0.17,3.7573323249816895
65,0.17,3.756746768951416
66,0.175,3.7552099227905273
67,0.175,3.7544822692871094
68,0.175,3.7554216384887695
69,0.175,3.7558157444000244
70,0.17,3.7563467025756836
71,0.175,3.755791187286377
72,0.175,3.755283832550049
73,0.175,3.7556488513946533
74,0.17,3.756171464920044
75,0.175,3.7558364868164062
76,0.17,3.7559316158294678
77,0.175,3.7546541690826416
78,0.175,3.753837823867798
79,0.175,3.753818988800049
80,0.175,3.753688335418701
81,0.175,3.7537643909454346
82,0.175,3.754228115081787
83,0.175,3.753222703933716
84,0.175,3.7516837120056152
85,0.175,3.7501280307769775
