iter,test acc,w diff
0,0.45,1.7069215774536133
1,0.45,1.6890249252319336
2,0.44,1.671751856803894
3,0.43,1.6551986932754517
4,0.41,1.6390732526779175
5,0.41,1.623478889465332
6,0.4,1.6085227727890015
7,0.41,1.5943118333816528
8,0.43,1.5812056064605713
9,0.42,1.56716787815094
10,0.46,1.5541296005249023
11,0.44,1.5400853157043457
12,0.45,1.5272830724716187
13,0.44,1.5132546424865723
14,0.46,1.5005367994308472
15,0.49,1.4867695569992065
16,0.46,1.4741241931915283
17,0.49,1.460405707359314
18,0.46,1.4481104612350464
19,0.49,1.4344662427902222
20,0.49,1.421905517578125
21,0.5,1.4091867208480835
22,0.5,1.3971452713012695
23,0.51,1.3839709758758545
24,0.52,1.3723764419555664
25,0.53,1.359327793121338
26,0.54,1.34770929813385
27,0.56,1.3350536823272705
28,0.54,1.323909044265747
29,0.56,1.3114022016525269
30,0.55,1.300076961517334
31,0.55,1.2888401746749878
32,0.58,1.2781147956848145
33,0.55,1.2662253379821777
34,0.55,1.255521297454834
35,0.57,1.2449381351470947
36,0.59,1.2346798181533813
37,0.57,1.2234289646148682
38,0.6,1.213749647140503
39,0.59,1.2026896476745605
40,0.6,1.1930580139160156
41,0.61,1.1822869777679443
42,0.62,1.1728003025054932
43,0.61,1.1624728441238403
44,0.62,1.1535134315490723
45,0.61,1.1433740854263306
46,0.65,1.1345702409744263
47,0.64,1.1247186660766602
48,0.61,1.1159616708755493
49,0.63,1.107012152671814
50,0.61,1.0983339548110962
51,0.67,1.0897446870803833
52,0.64,1.0812612771987915
53,0.66,1.0722440481185913
54,0.67,1.063467025756836
55,0.68,1.0556195974349976
56,0.68,1.047232747077942
57,0.68,1.038827657699585
58,0.68,1.0301785469055176
59,0.67,1.021639347076416
60,0.7,1.0131003856658936
61,0.69,1.0046204328536987
62,0.68,0.9968124032020569
63,0.71,0.9890631437301636
64,0.69,0.981278657913208
65,0.71,0.9732628464698792
66,0.68,0.9654955863952637
67,0.71,0.958122730255127
68,0.69,0.950265109539032
69,0.72,0.9423729777336121
70,0.74,0.9353966116905212
71,0.7,0.9280789494514465
72,0.72,0.9208188652992249
73,0.69,0.9142053723335266
74,0.75,0.9062223434448242
75,0.71,0.9001148343086243
76,0.75,0.8931993842124939
77,0.72,0.8866145610809326
78,0.72,0.8794604539871216
79,0.79,0.8723683953285217
80,0.73,0.8659341335296631
81,0.78,0.8590968251228333
82,0.75,0.8528104424476624
83,0.78,0.8462153673171997
84,0.75,0.8394123315811157
85,0.8,0.8332725167274475
86,0.74,0.8275418877601624
87,0.8,0.8208040595054626
88,0.76,0.8147537708282471
89,0.78,0.8086206316947937
90,0.74,0.8022660613059998
91,0.79,0.7959135174751282
92,0.8,0.7895997762680054
93,0.8,0.7840887308120728
94,0.79,0.7780238389968872
95,0.79,0.7720360159873962
96,0.8,0.7664358019828796
97,0.8,0.7614275813102722
98,0.81,0.755248486995697
99,0.79,0.7503164410591125
100,0.81,0.744416356086731
101,0.8,0.7389902472496033
102,0.83,0.7335283756256104
103,0.8,0.7290225625038147
104,0.83,0.7230619192123413
105,0.8,0.7178071141242981
106,0.82,0.7124797701835632
107,0.79,0.7072145938873291
108,0.81,0.7016834020614624
109,0.83,0.6962553858757019
110,0.83,0.6917601227760315
111,0.82,0.687009871006012
112,0.81,0.682036817073822
113,0.84,0.6766809821128845
114,0.81,0.6720153093338013
115,0.83,0.667174220085144
116,0.82,0.6626461148262024
117,0.84,0.6571686863899231
118,0.82,0.6533377170562744
119,0.83,0.6484736204147339
120,0.81,0.6438770294189453
121,0.83,0.6390160322189331
122,0.84,0.6341423988342285
123,0.83,0.6302728652954102
124,0.85,0.6256148219108582
125,0.83,0.6211063861846924
126,0.84,0.6169142723083496
127,0.83,0.6130259037017822
