iter,test acc,w diff
0,0.57,1.1824116706848145
1,0.59,1.160653829574585
2,0.6,1.1414388418197632
3,0.59,1.1226922273635864
4,0.62,1.104120135307312
5,0.61,1.087627649307251
6,0.63,1.0694390535354614
7,0.6,1.0525586605072021
8,0.65,1.0355589389801025
9,0.64,1.0187230110168457
10,0.65,1.0031756162643433
11,0.64,0.986946165561676
12,0.63,0.9730387330055237
13,0.65,0.956267237663269
14,0.64,0.9406543374061584
15,0.65,0.9259196519851685
16,0.66,0.9110683798789978
17,0.63,0.8983005285263062
18,0.68,0.8828803896903992
19,0.65,0.8690270781517029
20,0.66,0.8560022115707397
21,0.68,0.8415235877037048
22,0.66,0.8298684358596802
23,0.67,0.8158807754516602
24,0.71,0.8040376901626587
25,0.68,0.7922185063362122
26,0.68,0.7800202965736389
27,0.67,0.7683191299438477
28,0.67,0.7550799250602722
29,0.69,0.7432788014411926
30,0.68,0.7314534783363342
31,0.69,0.7202532291412354
32,0.7,0.7083406448364258
33,0.71,0.697506308555603
34,0.68,0.6885308623313904
35,0.71,0.6762614250183105
36,0.67,0.6659948229789734
37,0.7,0.6544873714447021
38,0.69,0.6446477770805359
39,0.7,0.6351874470710754
40,0.7,0.6249014139175415
41,0.73,0.6140673160552979
42,0.72,0.6050974726676941
43,0.72,0.5971215963363647
44,0.73,0.5882965326309204
45,0.7,0.5797010660171509
46,0.72,0.5695999264717102
47,0.7,0.5617852210998535
48,0.75,0.5541266202926636
49,0.69,0.545469343662262
50,0.76,0.536662220954895
51,0.72,0.5280465483665466
52,0.76,0.5199384689331055
53,0.72,0.5113675594329834
54,0.76,0.5051286220550537
55,0.73,0.4974031448364258
56,0.76,0.4897846281528473
57,0.76,0.4826856255531311
58,0.74,0.47622519731521606
59,0.76,0.4673037528991699
60,0.7,0.461002916097641
61,0.75,0.45481306314468384
62,0.74,0.44888293743133545
63,0.77,0.44220981001853943
64,0.74,0.43470144271850586
65,0.76,0.4285009503364563
66,0.78,0.42135852575302124
67,0.76,0.4159981310367584
68,0.77,0.40886613726615906
69,0.73,0.40308162569999695
70,0.78,0.3980635702610016
71,0.77,0.3928598463535309
72,0.78,0.3861547112464905
73,0.76,0.3816153407096863
74,0.78,0.3751926124095917
75,0.76,0.3703294098377228
76,0.78,0.36550334095954895
77,0.75,0.35977503657341003
78,0.77,0.3548983633518219
79,0.78,0.34918487071990967
80,0.77,0.3450491428375244
81,0.76,0.33795642852783203
82,0.78,0.33359965682029724
83,0.76,0.3285260498523712
84,0.78,0.3245038390159607
85,0.75,0.31960397958755493
86,0.78,0.3152962625026703
87,0.77,0.3110588490962982
88,0.77,0.30777543783187866
89,0.77,0.3026310205459595
90,0.77,0.2983328402042389
91,0.76,0.2953890264034271
92,0.77,0.29142141342163086
93,0.78,0.2874959111213684
94,0.78,0.28298842906951904
95,0.78,0.27984294295310974
96,0.77,0.2761811316013336
97,0.79,0.2725004553794861
98,0.78,0.2686414420604706
99,0.78,0.2653551399707794
100,0.78,0.261592298746109
101,0.79,0.2585877478122711
102,0.78,0.25482311844825745
103,0.79,0.2521011233329773
104,0.77,0.24885277450084686
105,0.77,0.24670347571372986
106,0.78,0.2426307052373886
107,0.78,0.2395688146352768
108,0.77,0.23678113520145416
109,0.78,0.23303072154521942
110,0.76,0.23068703711032867
