iter,test acc,w diff
0,0.44,1.8443962335586548
1,0.43,1.843564510345459
2,0.44,1.8458425998687744
3,0.44,1.8309388160705566
4,0.44,1.8274955749511719
5,0.44,1.826533317565918
6,0.46,1.8216707706451416
7,0.45,1.8268948793411255
8,0.45,1.8263022899627686
9,0.45,1.8257732391357422
10,0.45,1.8157461881637573
11,0.46,1.814795970916748
12,0.45,1.8169161081314087
13,0.45,1.8154464960098267
14,0.46,1.817518711090088
15,0.47,1.8163717985153198
16,0.47,1.8156015872955322
17,0.48,1.815970778465271
18,0.46,1.8143746852874756
19,0.44,1.8102483749389648
20,0.46,1.8040552139282227
21,0.47,1.7987020015716553
22,0.49,1.7899937629699707
23,0.48,1.7887821197509766
24,0.49,1.7883028984069824
25,0.51,1.7752286195755005
26,0.48,1.77073335647583
27,0.5,1.7707839012145996
28,0.48,1.75529944896698
29,0.5,1.7523349523544312
30,0.5,1.7500680685043335
31,0.51,1.7468633651733398
32,0.52,1.740380883216858
33,0.51,1.7393358945846558
34,0.51,1.7388802766799927
35,0.47,1.7369542121887207
36,0.51,1.7364153861999512
37,0.47,1.7302746772766113
38,0.54,1.7127667665481567
39,0.53,1.7030675411224365
40,0.55,1.6916606426239014
41,0.57,1.6903563737869263
42,0.55,1.6873316764831543
43,0.55,1.682105541229248
44,0.55,1.6793543100357056
45,0.56,1.6784402132034302
46,0.57,1.6779636144638062
47,0.55,1.673830509185791
48,0.59,1.6702423095703125
49,0.56,1.6700081825256348
50,0.59,1.669730544090271
51,0.55,1.6653510332107544
52,0.56,1.6529639959335327
53,0.56,1.646201252937317
54,0.58,1.6440330743789673
55,0.58,1.6432161331176758
56,0.56,1.639011263847351
57,0.58,1.6321991682052612
58,0.56,1.6298037767410278
59,0.57,1.6300064325332642
60,0.56,1.61834716796875
61,0.58,1.6161186695098877
62,0.56,1.6141201257705688
63,0.6,1.6107043027877808
64,0.56,1.6049213409423828
65,0.58,1.6041991710662842
66,0.59,1.6049134731292725
67,0.61,1.6009899377822876
68,0.6,1.5985826253890991
69,0.56,1.5981593132019043
70,0.59,1.5931271314620972
71,0.57,1.5928343534469604
72,0.62,1.58809232711792
73,0.6,1.571234107017517
74,0.58,1.5623128414154053
75,0.61,1.5509878396987915
76,0.59,1.5418161153793335
77,0.62,1.534977912902832
78,0.6,1.5320936441421509
79,0.61,1.531315803527832
80,0.63,1.5204534530639648
81,0.62,1.5168448686599731
82,0.6,1.5155880451202393
83,0.6,1.5127296447753906
84,0.6,1.5114728212356567
85,0.6,1.5112735033035278
86,0.61,1.5091829299926758
87,0.61,1.5025585889816284
88,0.63,1.5019551515579224
89,0.61,1.4970155954360962
90,0.61,1.4947340488433838
91,0.61,1.4943642616271973
92,0.65,1.4861359596252441
93,0.61,1.4779213666915894
94,0.62,1.4777112007141113
95,0.61,1.4736063480377197
96,0.64,1.4648696184158325
97,0.62,1.4610981941223145
98,0.63,1.449532151222229
99,0.64,1.4418584108352661
100,0.62,1.4284003973007202
101,0.61,1.4278615713119507
102,0.62,1.4273536205291748
103,0.63,1.425765872001648
104,0.62,1.4239495992660522
105,0.61,1.42139732837677
106,0.62,1.408984661102295
107,0.6,1.4063692092895508
108,0.62,1.4030777215957642
109,0.62,1.4022904634475708
110,0.58,1.4027414321899414
111,0.61,1.3998463153839111
112,0.6,1.3974394798278809
113,0.56,1.3909786939620972
114,0.62,1.3909441232681274
115,0.62,1.3827556371688843
116,0.62,1.377057671546936
117,0.63,1.3757638931274414
118,0.64,1.3761935234069824
119,0.64,1.3760900497436523
120,0.66,1.371782660484314
121,0.62,1.3687082529067993
122,0.68,1.3622692823410034
123,0.67,1.3544095754623413
124,0.64,1.3511130809783936
125,0.69,1.3430376052856445
126,0.65,1.333087682723999
127,0.61,1.3266592025756836
128,0.61,1.3175268173217773
129,0.62,1.3112545013427734
130,0.63,1.3093270063400269
131,0.62,1.3088157176971436
132,0.64,1.3058634996414185
133,0.63,1.2960095405578613
134,0.61,1.2912651300430298
135,0.62,1.2880769968032837
136,0.63,1.28767728805542
137,0.61,1.2870943546295166
138,0.62,1.2837986946105957
139,0.64,1.2792384624481201
140,0.65,1.2733534574508667
141,0.65,1.2703320980072021
142,0.61,1.2591772079467773
143,0.64,1.2572855949401855
144,0.65,1.2567638158798218
145,0.66,1.2525910139083862
146,0.65,1.2512787580490112
147,0.63,1.2500760555267334
148,0.6,1.2458510398864746
149,0.61,1.2458528280258179
150,0.65,1.2442141771316528
151,0.62,1.2371408939361572
152,0.64,1.234326958656311
153,0.62,1.2331421375274658
154,0.64,1.2318726778030396
155,0.69,1.23017418384552
156,0.67,1.2291256189346313
157,0.69,1.225550651550293
158,0.67,1.2249953746795654
159,0.66,1.2211625576019287
160,0.69,1.221510410308838
161,0.64,1.2189054489135742
162,0.65,1.2140125036239624
163,0.64,1.2128961086273193
164,0.6,1.193395972251892
165,0.55,1.1864320039749146
166,0.62,1.1836341619491577
167,0.58,1.1827894449234009
168,0.57,1.182689905166626
169,0.66,1.1768903732299805
170,0.6,1.1739805936813354
171,0.66,1.1701769828796387
172,0.65,1.1631463766098022
173,0.7,1.160582423210144
174,0.65,1.1557109355926514
175,0.64,1.15558922290802
176,0.65,1.1484915018081665
177,0.64,1.1420245170593262
178,0.66,1.1413507461547852
179,0.65,1.1375863552093506
180,0.65,1.1368088722229004
181,0.64,1.1332591772079468
182,0.68,1.1335185766220093
183,0.68,1.1327003240585327
184,0.66,1.1276835203170776
185,0.68,1.1258436441421509
186,0.7,1.123399019241333
187,0.67,1.1234654188156128
188,0.7,1.1223865747451782
189,0.67,1.118782639503479
190,0.67,1.1178035736083984
191,0.66,1.1173896789550781
192,0.67,1.111506700515747
193,0.67,1.1058704853057861
194,0.66,1.1052926778793335
195,0.68,1.1051862239837646
196,0.67,1.0997164249420166
197,0.7,1.0971304178237915
198,0.7,1.0958826541900635
199,0.73,1.095290184020996
200,0.71,1.0928961038589478
201,0.63,1.0847539901733398
202,0.67,1.084870457649231
203,0.73,1.0831085443496704
204,0.72,1.0824098587036133
205,0.7,1.0830516815185547
206,0.72,1.080458164215088
207,0.72,1.079993486404419
208,0.72,1.0779728889465332
209,0.7,1.0778121948242188
210,0.74,1.0731663703918457
211,0.71,1.0660407543182373
212,0.72,1.0656654834747314
213,0.71,1.0634596347808838
214,0.66,1.057356595993042
215,0.67,1.0561443567276
216,0.69,1.0542292594909668
217,0.69,1.0541642904281616
218,0.68,1.0434765815734863
219,0.68,1.0430452823638916
220,0.68,1.0386968851089478
221,0.7,1.0369328260421753
222,0.63,1.033791184425354
223,0.69,1.0194299221038818
224,0.67,1.011838674545288
225,0.67,1.0081753730773926
226,0.62,1.0066370964050293
227,0.7,1.0046842098236084
228,0.68,1.0035350322723389
229,0.69,1.0000927448272705
230,0.76,0.9938928484916687
231,0.76,0.9936959147453308
232,0.76,0.9897598028182983
233,0.73,0.986881673336029
234,0.74,0.9843159914016724
235,0.71,0.9817032217979431
236,0.67,0.9805434346199036
237,0.7,0.9793972373008728
238,0.76,0.9758602380752563
239,0.73,0.9746437668800354
240,0.72,0.9748494029045105
241,0.68,0.9716796278953552
242,0.7,0.9655800461769104
243,0.7,0.9628636837005615
244,0.72,0.9622288942337036
245,0.68,0.9567563533782959
246,0.68,0.9559758305549622
247,0.71,0.9535057544708252
248,0.73,0.9492760896682739
249,0.73,0.9466000199317932
250,0.69,0.946204423904419
251,0.71,0.9459400773048401
252,0.7,0.9441551566123962
253,0.69,0.9439435601234436
254,0.68,0.9444332718849182
255,0.7,0.9389543533325195
256,0.69,0.9285760521888733
257,0.7,0.925440788269043
258,0.71,0.9232057929039001
259,0.71,0.9188657999038696
260,0.72,0.9174853563308716
261,0.73,0.9170397520065308
262,0.71,0.9170252680778503
263,0.69,0.9174140095710754
264,0.72,0.9158353209495544
