iter,test acc,w diff
0,0.55,1.0499725341796875
1,0.53,1.045729160308838
2,0.49,1.0384010076522827
3,0.45,1.0351239442825317
4,0.51,1.0260610580444336
5,0.45,1.0241318941116333
6,0.49,1.021659255027771
7,0.5,1.0224419832229614
8,0.51,1.0215744972229004
9,0.48,1.0212970972061157
10,0.51,1.0211975574493408
11,0.53,1.0205178260803223
12,0.52,1.0184283256530762
13,0.5,1.0137460231781006
14,0.5,1.0146456956863403
15,0.5,1.0143283605575562
16,0.51,1.0075006484985352
17,0.52,1.00677490234375
18,0.52,1.0047757625579834
19,0.51,1.0020986795425415
20,0.53,1.0019965171813965
21,0.56,0.9984307289123535
22,0.54,0.9984743595123291
23,0.49,0.9955868721008301
24,0.49,0.9918894171714783
25,0.5,0.9924077391624451
26,0.57,0.9920963644981384
27,0.56,0.990038275718689
28,0.52,0.9840723872184753
29,0.58,0.9810376763343811
30,0.57,0.9796231985092163
31,0.54,0.978248119354248
32,0.58,0.9777430891990662
33,0.55,0.978788435459137
34,0.51,0.980283796787262
35,0.52,0.9799484014511108
36,0.57,0.9789795279502869
37,0.56,0.9797365665435791
38,0.59,0.9724334478378296
39,0.51,0.9682030081748962
40,0.59,0.9675830006599426
41,0.52,0.9694010019302368
42,0.52,0.9669479727745056
43,0.6,0.9658252000808716
44,0.53,0.9595198631286621
45,0.52,0.9611491560935974
46,0.54,0.9607253074645996
47,0.5,0.957405686378479
48,0.5,0.9561784267425537
49,0.52,0.9490962028503418
50,0.51,0.9439033269882202
51,0.6,0.9450013041496277
52,0.6,0.9423143267631531
53,0.61,0.9411418437957764
54,0.54,0.9406764507293701
55,0.49,0.9380397200584412
56,0.49,0.9377771019935608
57,0.5,0.9372097849845886
58,0.51,0.9365788698196411
59,0.53,0.9305300116539001
60,0.52,0.9274747371673584
61,0.61,0.9273770451545715
62,0.53,0.9272957444190979
63,0.49,0.9261990189552307
64,0.54,0.920301616191864
65,0.61,0.9170606732368469
66,0.61,0.9160876870155334
67,0.57,0.9139768481254578
68,0.6,0.9101742506027222
69,0.62,0.9080689549446106
70,0.59,0.9054502248764038
71,0.55,0.9025620222091675
72,0.57,0.9020900726318359
73,0.6,0.9004675149917603
74,0.62,0.904598593711853
75,0.61,0.9040915966033936
76,0.62,0.9044005274772644
77,0.62,0.9033153057098389
78,0.58,0.9031212329864502
79,0.53,0.9029299020767212
80,0.53,0.9016895294189453
81,0.5,0.8992188572883606
82,0.53,0.8962537050247192
83,0.54,0.8948480486869812
84,0.58,0.8943169116973877
85,0.62,0.8918269872665405
86,0.62,0.8919951915740967
87,0.55,0.8913670778274536
88,0.57,0.8905927538871765
89,0.62,0.8895655274391174
90,0.63,0.8886858224868774
91,0.56,0.8877254724502563
92,0.57,0.8867607712745667
93,0.55,0.8893386125564575
94,0.54,0.8884966969490051
95,0.56,0.8829820156097412
96,0.62,0.8820904493331909
97,0.63,0.8792886137962341
98,0.63,0.8787868022918701
99,0.59,0.8752846717834473
100,0.54,0.8780255913734436
101,0.57,0.8773780465126038
102,0.61,0.876501739025116
103,0.6,0.8775365352630615
104,0.64,0.8724744915962219
105,0.56,0.8698773384094238
106,0.6,0.8694475293159485
107,0.62,0.8683218955993652
108,0.63,0.8669065833091736
109,0.63,0.866775393486023
110,0.59,0.8592768311500549
111,0.64,0.8593215942382812
112,0.59,0.8583323955535889
113,0.63,0.8557444214820862
114,0.59,0.8497875928878784
115,0.58,0.8476778864860535
116,0.59,0.847993016242981
117,0.6,0.8471928238868713
118,0.58,0.8451358675956726
