iter,test acc,w diff
0,0.38,0.9740915298461914
1,0.49,0.7566626071929932
2,0.6,0.5763890147209167
3,0.54,0.4367921054363251
4,0.68,0.3272230923175812
5,0.75,0.24261048436164856
6,0.75,0.18994583189487457
7,0.79,0.14292076230049133
8,0.83,0.13817572593688965
9,0.82,0.11932273954153061
10,0.8,0.12223367393016815
11,0.83,0.11517728120088577
12,0.83,0.11619769781827927
13,0.81,0.11004218459129333
14,0.81,0.10938944667577744
15,0.82,0.1099528968334198
16,0.81,0.10629811882972717
17,0.82,0.10436892509460449
18,0.81,0.10208906978368759
19,0.83,0.10134711116552353
20,0.78,0.0993991419672966
21,0.83,0.09735886007547379
22,0.82,0.09522046148777008
23,0.83,0.09494248032569885
24,0.83,0.09019820392131805
25,0.82,0.08816001564264297
26,0.85,0.08662109822034836
27,0.83,0.0824785903096199
28,0.84,0.08344155550003052
29,0.82,0.0802689641714096
30,0.84,0.08058375865221024
31,0.84,0.07582008838653564
32,0.83,0.0797661766409874
33,0.83,0.07398194819688797
34,0.84,0.0791083350777626
35,0.82,0.07109817862510681
36,0.82,0.07612257450819016
37,0.82,0.06814078986644745
38,0.85,0.07214212417602539
39,0.82,0.06529583781957626
40,0.85,0.07014816999435425
41,0.83,0.06298601627349854
42,0.84,0.06762023270130157
43,0.81,0.06088894233107567
44,0.84,0.06522450596094131
45,0.82,0.058782465755939484
46,0.84,0.06344108283519745
47,0.82,0.056985724717378616
48,0.85,0.06222272291779518
49,0.82,0.055909302085638046
50,0.84,0.06023474037647247
51,0.82,0.052950743585824966
52,0.85,0.05738752707839012
53,0.82,0.05129095911979675
54,0.84,0.05494123697280884
55,0.82,0.04965812712907791
56,0.82,0.05317987874150276
57,0.82,0.04811691865324974
58,0.83,0.051279257982969284
59,0.8,0.047125790268182755
60,0.83,0.050250791013240814
61,0.83,0.04511392489075661
62,0.82,0.04680002108216286
63,0.81,0.04507993906736374
64,0.82,0.0448734275996685
65,0.81,0.04402881860733032
66,0.83,0.043511081486940384
67,0.81,0.04297370836138725
68,0.82,0.043052252382040024
69,0.81,0.04099546745419502
70,0.82,0.04181975871324539
71,0.82,0.038629353046417236
72,0.82,0.03986358270049095
73,0.82,0.037962961941957474
74,0.83,0.03853781893849373
75,0.83,0.03663298115134239
76,0.82,0.03838842734694481
77,0.81,0.03579891100525856
78,0.82,0.036748241633176804
79,0.82,0.03533530980348587
80,0.82,0.03606099635362625
81,0.83,0.033842187374830246
82,0.82,0.03547629341483116
83,0.82,0.033165354281663895
84,0.83,0.03381757065653801
85,0.82,0.03168578818440437
86,0.83,0.03295693174004555
87,0.83,0.030901195481419563
88,0.82,0.03147679567337036
89,0.83,0.029772527515888214
90,0.79,0.03150362893939018
91,0.85,0.029142925515770912
92,0.79,0.030637674033641815
93,0.85,0.02823735401034355
94,0.8,0.02987886779010296
95,0.85,0.027371544390916824
96,0.8,0.029177648946642876
97,0.85,0.026964368298649788
98,0.83,0.028537297621369362
99,0.82,0.02568752132356167
100,0.83,0.027621181681752205
101,0.82,0.02506403625011444
