iter,test acc,w diff
0,0.43,1.7119895219802856
1,0.43,1.7075982093811035
2,0.43,1.7032121419906616
3,0.43,1.6988314390182495
4,0.43,1.6944557428359985
5,0.43,1.6900850534439087
6,0.43,1.685720443725586
7,0.43,1.6813610792160034
8,0.435,1.6770063638687134
9,0.44,1.6726576089859009
10,0.44,1.6683145761489868
11,0.44,1.6639775037765503
12,0.445,1.6596460342407227
13,0.45,1.6553205251693726
14,0.45,1.6510000228881836
15,0.455,1.6466858386993408
16,0.455,1.6423776149749756
17,0.455,1.638075590133667
18,0.46,1.633779525756836
19,0.46,1.6294896602630615
20,0.46,1.6252055168151855
21,0.465,1.6209278106689453
22,0.47,1.6166558265686035
23,0.475,1.6123906373977661
24,0.47,1.6081323623657227
25,0.47,1.603879690170288
26,0.47,1.5996339321136475
27,0.47,1.5953946113586426
28,0.47,1.591161847114563
29,0.47,1.58693528175354
30,0.475,1.5827155113220215
31,0.475,1.578502893447876
32,0.475,1.574296474456787
33,0.48,1.5700974464416504
34,0.485,1.565904974937439
35,0.49,1.5617189407348633
36,0.49,1.5575404167175293
37,0.49,1.5533688068389893
38,0.49,1.5492041110992432
39,0.49,1.5450466871261597
40,0.49,1.5408960580825806
41,0.49,1.5367531776428223
42,0.49,1.5326169729232788
43,0.5,1.5284878015518188
44,0.5,1.5243662595748901
45,0.505,1.5202523469924927
46,0.51,1.5161454677581787
47,0.52,1.5120458602905273
48,0.52,1.5079542398452759
49,0.53,1.5038695335388184
50,0.53,1.4997928142547607
51,0.53,1.4957232475280762
52,0.53,1.4916613101959229
53,0.535,1.4876070022583008
54,0.535,1.4835606813430786
55,0.535,1.47952139377594
56,0.545,1.4754905700683594
57,0.545,1.4714674949645996
58,0.545,1.4674521684646606
59,0.55,1.4634441137313843
60,0.55,1.4594449996948242
61,0.55,1.455452799797058
62,0.555,1.4514691829681396
63,0.555,1.4474936723709106
64,0.555,1.4435259103775024
65,0.555,1.439565896987915
66,0.56,1.4356149435043335
67,0.57,1.4316715002059937
68,0.57,1.4277359247207642
69,0.57,1.4238090515136719
70,0.57,1.41989004611969
71,0.57,1.4159798622131348
72,0.57,1.412076711654663
73,0.575,1.408182978630066
74,0.575,1.4042972326278687
75,0.575,1.400418996810913
76,0.575,1.3965506553649902
77,0.575,1.3926899433135986
78,0.58,1.3888376951217651
79,0.58,1.384993553161621
80,0.585,1.3811583518981934
81,0.585,1.3773314952850342
82,0.585,1.373513102531433
83,0.585,1.3697036504745483
84,0.59,1.365902304649353
85,0.59,1.3621095418930054
86,0.59,1.3583253622055054
87,0.59,1.3545506000518799
88,0.59,1.3509482145309448
89,0.59,1.3473531007766724
90,0.59,1.3437646627426147
91,0.595,1.3401827812194824
92,0.595,1.336607813835144
93,0.595,1.3330392837524414
94,0.59,1.3294776678085327
95,0.59,1.3259226083755493
96,0.59,1.3223743438720703
97,0.59,1.318833351135254
98,0.59,1.3152987957000732
99,0.59,1.3117709159851074
100,0.59,1.3082504272460938
101,0.59,1.3047370910644531
102,0.59,1.3012295961380005
103,0.59,1.2977306842803955
104,0.59,1.294237732887268
105,0.59,1.2907518148422241
106,0.59,1.2872734069824219
107,0.59,1.2838016748428345
108,0.59,1.2803370952606201
109,0.595,1.2768795490264893
110,0.595,1.2734293937683105
111,0.595,1.2699854373931885
112,0.6,1.2665503025054932
113,0.61,1.2631210088729858
114,0.61,1.2596997022628784
115,0.61,1.2562854290008545
116,0.62,1.2528784275054932
117,0.62,1.2494784593582153
118,0.62,1.2460857629776
119,0.62,1.2427005767822266
120,0.62,1.2393226623535156
121,0.62,1.2359520196914673
122,0.62,1.2325886487960815
123,0.62,1.229232907295227
124,0.62,1.2258845567703247
125,0.62,1.2225438356399536
126,0.625,1.2192100286483765
127,0.63,1.2158836126327515
128,0.63,1.2125647068023682
129,0.63,1.2092540264129639
130,0.645,1.2059502601623535
131,0.645,1.2026537656784058
132,0.645,1.199365258216858
133,0.65,1.196083903312683
134,0.65,1.192810297012329
135,0.655,1.1895438432693481
136,0.655,1.1862854957580566
