iter,test acc,w diff
0,0.47,2.20740008354187
1,0.475,2.200934648513794
2,0.475,2.1944613456726074
3,0.475,2.187981128692627
4,0.475,2.1814937591552734
5,0.475,2.174999475479126
6,0.475,2.1684980392456055
7,0.485,2.161990165710449
8,0.485,2.1554770469665527
9,0.49,2.1489572525024414
10,0.49,2.1424317359924316
11,0.49,2.1359004974365234
12,0.49,2.129364490509033
13,0.49,2.1228229999542236
14,0.49,2.116276264190674
15,0.49,2.1097254753112793
16,0.49,2.1031699180603027
17,0.49,2.0966103076934814
18,0.49,2.0900473594665527
19,0.49,2.0834801197052
20,0.49,2.0769097805023193
21,0.5,2.070335865020752
22,0.5,2.0637595653533936
23,0.5,2.0571796894073486
24,0.5,2.050597906112671
25,0.505,2.0440144538879395
26,0.51,2.0374274253845215
27,0.515,2.0308401584625244
28,0.52,2.024249792098999
29,0.52,2.017660140991211
30,0.53,2.0110673904418945
31,0.53,2.0044753551483154
32,0.53,1.9978830814361572
33,0.53,1.991289734840393
34,0.53,1.9846959114074707
35,0.53,1.9781030416488647
36,0.535,1.9715096950531006
37,0.535,1.9649176597595215
38,0.535,1.9583263397216797
39,0.535,1.9517360925674438
40,0.535,1.9451476335525513
41,0.545,1.9385600090026855
42,0.545,1.9319746494293213
43,0.545,1.9253913164138794
44,0.545,1.9188101291656494
45,0.55,1.9122320413589478
46,0.55,1.905656099319458
47,0.55,1.8990838527679443
48,0.55,1.892514705657959
49,0.55,1.8859485387802124
50,0.555,1.8793869018554688
51,0.555,1.872828722000122
52,0.555,1.8662749528884888
53,0.555,1.8597252368927002
54,0.555,1.853180170059204
55,0.56,1.8466404676437378
56,0.565,1.8401058912277222
57,0.57,1.8335764408111572
58,0.57,1.8270524740219116
59,0.57,1.8205349445343018
60,0.57,1.8140226602554321
61,0.57,1.8075169324874878
62,0.57,1.8010181188583374
63,0.57,1.7945261001586914
64,0.57,1.7880401611328125
65,0.575,1.7815618515014648
66,0.575,1.7750908136367798
67,0.575,1.7686277627944946
68,0.575,1.762171745300293
69,0.575,1.7557246685028076
70,0.575,1.7492859363555908
71,0.58,1.7428545951843262
72,0.58,1.736432671546936
73,0.58,1.7300193309783936
74,0.58,1.7236151695251465
75,0.585,1.7172197103500366
76,0.585,1.710834264755249
77,0.585,1.704458236694336
78,0.585,1.6980922222137451
79,0.585,1.6917363405227661
80,0.585,1.6853901147842407
81,0.59,1.6790549755096436
82,0.59,1.6727300882339478
83,0.59,1.666416883468628
84,0.59,1.66011381149292
85,0.59,1.6538214683532715
86,0.59,1.6475416421890259
87,0.59,1.6412731409072876
88,0.59,1.635016918182373
89,0.59,1.628771185874939
90,0.595,1.6225388050079346
91,0.595,1.6163175106048584
92,0.595,1.6101096868515015
93,0.59,1.6039141416549683
94,0.59,1.597731351852417
95,0.59,1.5915621519088745
96,0.59,1.5854053497314453
97,0.59,1.5792620182037354
98,0.59,1.5731323957443237
99,0.59,1.5670164823532104
100,0.59,1.5609142780303955
101,0.59,1.5548251867294312
102,0.59,1.5487512350082397
103,0.59,1.5426909923553467
