iter,test acc,w diff
0,0.145,3.3760578632354736
1,0.145,3.376220941543579
2,0.145,3.3747870922088623
3,0.15,3.373903274536133
4,0.15,3.3725686073303223
5,0.15,3.3728559017181396
6,0.15,3.371124744415283
7,0.145,3.369218587875366
8,0.145,3.3683207035064697
9,0.145,3.3671650886535645
10,0.145,3.3666248321533203
11,0.145,3.365999460220337
12,0.145,3.364807605743408
13,0.145,3.3635029792785645
14,0.145,3.3633294105529785
15,0.145,3.3621983528137207
16,0.145,3.3608992099761963
17,0.145,3.361001491546631
18,0.145,3.359686851501465
19,0.145,3.35864520072937
20,0.145,3.3566954135894775
21,0.145,3.3551557064056396
22,0.145,3.3544604778289795
23,0.145,3.355064868927002
24,0.145,3.353799819946289
25,0.145,3.3535842895507812
26,0.145,3.3537702560424805
27,0.145,3.3532559871673584
28,0.145,3.352576494216919
29,0.145,3.3512792587280273
30,0.15,3.3501555919647217
31,0.15,3.3483922481536865
32,0.15,3.346949815750122
33,0.15,3.346245288848877
34,0.15,3.344879150390625
35,0.15,3.343388319015503
36,0.15,3.3420701026916504
37,0.15,3.3415451049804688
38,0.15,3.339942693710327
39,0.15,3.340548276901245
40,0.15,3.3392090797424316
41,0.15,3.3382105827331543
42,0.15,3.336348056793213
43,0.15,3.335066556930542
44,0.15,3.335184097290039
45,0.15,3.334010362625122
46,0.15,3.3321595191955566
47,0.15,3.331148147583008
48,0.15,3.329981565475464
49,0.15,3.329867362976074
50,0.15,3.329393148422241
51,0.15,3.3289132118225098
52,0.15,3.3278372287750244
53,0.15,3.327035903930664
54,0.15,3.327066421508789
55,0.15,3.3269777297973633
56,0.15,3.326721668243408
57,0.15,3.3270933628082275
58,0.15,3.327331304550171
59,0.15,3.32602858543396
60,0.15,3.3259336948394775
61,0.15,3.326228141784668
62,0.15,3.3251266479492188
63,0.15,3.3236308097839355
64,0.155,3.322131633758545
65,0.155,3.3214313983917236
66,0.155,3.319960832595825
67,0.155,3.320939540863037
68,0.15,3.321235418319702
69,0.15,3.3211913108825684
70,0.155,3.319105386734009
71,0.155,3.319314956665039
72,0.155,3.3178741931915283
73,0.155,3.3162293434143066
74,0.155,3.315152168273926
75,0.155,3.313324451446533
76,0.155,3.312277317047119
77,0.155,3.313045024871826
78,0.155,3.3131332397460938
79,0.155,3.311995267868042
80,0.155,3.310953140258789
81,0.155,3.3115997314453125
82,0.155,3.3105010986328125
83,0.155,3.309662342071533
84,0.155,3.3088910579681396
85,0.155,3.307111978530884
86,0.155,3.3072073459625244
87,0.155,3.308061122894287
88,0.155,3.3075356483459473
89,0.155,3.3073995113372803
90,0.155,3.307542562484741
91,0.155,3.3078060150146484
92,0.155,3.307934522628784
93,0.155,3.306100845336914
94,0.155,3.3048207759857178
95,0.155,3.3033254146575928
96,0.155,3.3012421131134033
97,0.155,3.3001182079315186
98,0.155,3.299254894256592
99,0.155,3.297919273376465
100,0.155,3.2965891361236572
101,0.155,3.295964241027832
102,0.155,3.2956759929656982
103,0.155,3.294147253036499
104,0.155,3.292978525161743
105,0.155,3.291980266571045
106,0.155,3.292264461517334
107,0.155,3.2905561923980713
108,0.16,3.2898032665252686
109,0.16,3.2883920669555664
110,0.16,3.2876675128936768
111,0.16,3.2879860401153564
112,0.16,3.2878408432006836
113,0.16,3.2864224910736084
114,0.16,3.28542160987854
115,0.16,3.283751964569092
116,0.16,3.2828776836395264
117,0.16,3.2830965518951416
118,0.16,3.282931089401245
119,0.16,3.282315492630005
120,0.16,3.2806856632232666
121,0.16,3.2786757946014404
122,0.16,3.277433395385742
123,0.16,3.27695894241333
124,0.16,3.277560234069824
125,0.16,3.2779767513275146
126,0.16,3.2762978076934814
127,0.16,3.275257110595703
128,0.16,3.2741754055023193
129,0.16,3.27276611328125
130,0.16,3.2712080478668213
131,0.16,3.2717435359954834
132,0.16,3.2705237865448
133,0.16,3.268455743789673
134,0.16,3.2690186500549316
135,0.16,3.2668309211730957
136,0.165,3.265176773071289
137,0.16,3.263702154159546
138,0.16,3.2626564502716064
139,0.165,3.262974262237549
140,0.165,3.2628588676452637
141,0.16,3.2611215114593506
142,0.16,3.2612550258636475
143,0.165,3.2615456581115723
144,0.16,3.262012243270874
145,0.16,3.2616140842437744
146,0.16,3.2601335048675537
147,0.16,3.2584598064422607
148,0.16,3.2564070224761963
149,0.16,3.255052328109741
150,0.16,3.2542293071746826
151,0.16,3.2534639835357666
152,0.16,3.253061294555664
153,0.16,3.2519068717956543
154,0.16,3.2516939640045166
155,0.16,3.251718044281006
156,0.16,3.250749111175537
157,0.16,3.2491235733032227
158,0.165,3.246908664703369
159,0.165,3.2449610233306885
160,0.165,3.2428035736083984
161,0.165,3.2415759563446045
162,0.165,3.239666700363159
163,0.165,3.2383971214294434
164,0.165,3.2382078170776367
165,0.165,3.2368462085723877
166,0.165,3.2358157634735107
167,0.165,3.23604679107666
168,0.165,3.236738681793213
169,0.165,3.2369024753570557
170,0.165,3.235971212387085
171,0.165,3.2343554496765137
172,0.165,3.2342379093170166
173,0.165,3.234462261199951
174,0.165,3.2331888675689697
175,0.165,3.2321090698242188
176,0.165,3.2306082248687744
177,0.165,3.2290031909942627
178,0.165,3.2292768955230713
179,0.165,3.228391408920288
180,0.165,3.2286360263824463
181,0.165,3.2267098426818848
182,0.165,3.2248611450195312
183,0.165,3.2234082221984863
184,0.165,3.222435235977173
185,0.165,3.220931053161621
186,0.165,3.2193398475646973
187,0.165,3.2180614471435547
188,0.165,3.2162370681762695
189,0.165,3.214488983154297
190,0.165,3.2148754596710205
191,0.165,3.2134499549865723
192,0.165,3.2117936611175537
193,0.165,3.211240291595459
194,0.165,3.2104618549346924
195,0.165,3.209306478500366
196,0.165,3.2099297046661377
197,0.165,3.2086541652679443
198,0.165,3.2073402404785156
199,0.17,3.206620931625366
200,0.17,3.2059288024902344
201,0.17,3.205211639404297
202,0.17,3.2043120861053467
203,0.17,3.202347755432129
204,0.175,3.2016289234161377
205,0.175,3.201335906982422
206,0.175,3.2014641761779785
207,0.175,3.19978404045105
208,0.175,3.198316812515259
209,0.175,3.1978626251220703
210,0.18,3.195716381072998
211,0.18,3.1959762573242188
212,0.175,3.1947062015533447
213,0.175,3.1940512657165527
214,0.17,3.1931774616241455
215,0.17,3.1918275356292725
216,0.17,3.191465139389038
