iter,test acc,w diff
0,0.41,2.8111813068389893
1,0.41,2.8018267154693604
2,0.415,2.7953712940216064
3,0.415,2.785816192626953
4,0.42,2.7762463092803955
5,0.42,2.769871473312378
6,0.42,2.7635412216186523
7,0.42,2.7572543621063232
8,0.42,2.7510108947753906
9,0.42,2.7414512634277344
10,0.42,2.7352805137634277
11,0.425,2.7257156372070312
12,0.43,2.7161433696746826
13,0.43,2.710069179534912
14,0.43,2.704033374786377
15,0.43,2.6980299949645996
16,0.43,2.688391923904419
17,0.43,2.68245005607605
18,0.43,2.6727700233459473
19,0.43,2.6668872833251953
20,0.43,2.6610333919525146
21,0.43,2.6552093029022217
22,0.43,2.6455178260803223
23,0.435,2.635822296142578
24,0.44,2.630077362060547
25,0.44,2.624356746673584
26,0.44,2.6186609268188477
27,0.44,2.6129894256591797
28,0.445,2.6033742427825928
29,0.45,2.5937912464141846
30,0.45,2.588186502456665
31,0.45,2.5786643028259277
32,0.455,2.569171190261841
33,0.455,2.563624858856201
34,0.455,2.558098077774048
35,0.455,2.5525903701782227
36,0.46,2.5471012592315674
37,0.46,2.537736415863037
38,0.46,2.5322797298431396
39,0.465,2.526840925216675
40,0.465,2.5214197635650635
41,0.47,2.5121424198150635
42,0.475,2.5028817653656006
43,0.47,2.493638277053833
44,0.47,2.484409809112549
45,0.47,2.4790494441986084
46,0.47,2.469853639602661
47,0.47,2.4645156860351562
48,0.47,2.4591925144195557
49,0.47,2.453882932662964
50,0.47,2.4485859870910645
51,0.475,2.439469575881958
52,0.475,2.4341931343078613
53,0.475,2.425100803375244
54,0.475,2.416018009185791
55,0.475,2.410764455795288
56,0.485,2.4017035961151123
57,0.485,2.396465301513672
58,0.49,2.3912384510040283
59,0.49,2.382208824157715
60,0.49,2.3769965171813965
61,0.49,2.371795177459717
62,0.49,2.3627946376800537
63,0.49,2.357605218887329
64,0.49,2.352426052093506
65,0.49,2.347256898880005
66,0.49,2.3420958518981934
67,0.49,2.3331406116485596
68,0.49,2.324186325073242
69,0.5,2.3190367221832275
70,0.5,2.3100922107696533
71,0.5,2.304952621459961
72,0.5,2.2960174083709717
73,0.505,2.287081241607666
74,0.51,2.2781434059143066
75,0.52,2.2730119228363037
76,0.52,2.267888307571411
77,0.525,2.2589657306671143
78,0.53,2.253849744796753
79,0.53,2.2487401962280273
80,0.53,2.243638277053833
81,0.53,2.2347359657287598
82,0.53,2.2296392917633057
83,0.535,2.2207417488098145
84,0.535,2.211838483810425
85,0.535,2.2029335498809814
86,0.535,2.1978399753570557
87,0.545,2.188936233520508
