iter,test acc,w diff
0,0.32,2.75376296043396
1,0.315,2.731175184249878
2,0.315,2.7083699703216553
3,0.32,2.685356855392456
4,0.32,2.66214656829834
5,0.32,2.657191038131714
6,0.32,2.6521637439727783
7,0.325,2.6470675468444824
8,0.325,2.6234185695648193
9,0.33,2.599599838256836
10,0.33,2.575622797012329
11,0.33,2.5514962673187256
12,0.33,2.5454277992248535
13,0.33,2.539271116256714
14,0.33,2.5330212116241455
15,0.335,2.50850772857666
16,0.335,2.483879327774048
17,0.345,2.459149122238159
18,0.345,2.452075958251953
19,0.345,2.444889545440674
20,0.345,2.4199111461639404
21,0.34,2.3948633670806885
22,0.34,2.3697643280029297
23,0.345,2.3616981506347656
24,0.345,2.3535053730010986
25,0.345,2.3451778888702393
26,0.345,2.3198165893554688
27,0.345,2.2944390773773193
28,0.345,2.285447835922241
29,0.345,2.276313066482544
30,0.35,2.2508039474487305
31,0.355,2.241248846054077
32,0.355,2.231536626815796
33,0.355,2.2216668128967285
34,0.37,2.1959986686706543
35,0.375,2.1856911182403564
36,0.38,2.160022258758545
37,0.38,2.1344213485717773
38,0.38,2.1233952045440674
39,0.38,2.112184524536133
40,0.38,2.086590051651001
41,0.39,2.0611038208007812
42,0.4,2.0357367992401123
43,0.405,2.010507583618164
44,0.41,1.98542320728302
45,0.41,1.9726979732513428
46,0.41,1.959765911102295
47,0.41,1.946621298789978
48,0.41,1.9216850996017456
49,0.41,1.896934986114502
50,0.41,1.8723831176757812
51,0.41,1.8582829236984253
52,0.405,1.8439581394195557
53,0.41,1.8196648359298706
54,0.41,1.795601725578308
55,0.41,1.7717722654342651
56,0.415,1.7481871843338013
57,0.415,1.7248508930206299
58,0.415,1.7092015743255615
59,0.42,1.6933188438415527
60,0.425,1.677198052406311
61,0.425,1.6543480157852173
62,0.425,1.6317757368087769
63,0.43,1.6094881296157837
64,0.43,1.5874855518341064
65,0.43,1.5704195499420166
66,0.445,1.5488219261169434
67,0.445,1.5313680171966553
68,0.445,1.5136796236038208
69,0.45,1.4957611560821533
70,0.45,1.4776101112365723
71,0.455,1.459228754043579
72,0.465,1.4386457204818726
73,0.465,1.4199178218841553
74,0.47,1.3998215198516846
75,0.47,1.3807651996612549
76,0.48,1.3614915609359741
77,0.49,1.3420028686523438
