iter,test acc,w diff
0,0.485,2.150848150253296
1,0.5,2.1394333839416504
2,0.505,2.127976179122925
3,0.49,2.1165034770965576
4,0.485,2.1050424575805664
5,0.49,2.0936222076416016
6,0.49,2.081979274749756
7,0.49,2.070427417755127
8,0.49,2.0589630603790283
9,0.495,2.0470826625823975
10,0.49,2.0381181240081787
11,0.5,2.0261878967285156
12,0.495,2.0169663429260254
13,0.5,2.005007028579712
14,0.51,1.993103265762329
15,0.48,1.9835528135299683
16,0.505,1.9713349342346191
17,0.49,1.961557388305664
18,0.505,1.949349284172058
19,0.505,1.937326431274414
20,0.51,1.925217866897583
21,0.5,1.9149866104125977
22,0.51,1.9044746160507202
23,0.495,1.8921352624893188
24,0.535,1.8816829919815063
25,0.49,1.869418740272522
26,0.515,1.858512043952942
27,0.525,1.8476207256317139
28,0.51,1.8352165222167969
29,0.535,1.8241522312164307
30,0.495,1.8119324445724487
31,0.525,1.7996639013290405
32,0.54,1.7884769439697266
33,0.52,1.7761646509170532
34,0.54,1.7649930715560913
35,0.52,1.7528377771377563
36,0.54,1.7413837909698486
37,0.55,1.7300306558609009
38,0.53,1.717808723449707
39,0.545,1.7063547372817993
40,0.53,1.6944077014923096
41,0.545,1.6828696727752686
42,0.55,1.6715662479400635
43,0.545,1.6595139503479004
44,0.55,1.6480680704116821
45,0.535,1.6363290548324585
46,0.56,1.6248425245285034
47,0.53,1.6136540174484253
48,0.565,1.6017577648162842
49,0.57,1.5903589725494385
50,0.545,1.5790178775787354
51,0.575,1.5674463510513306
52,0.575,1.5561764240264893
53,0.575,1.544718623161316
54,0.57,1.5333714485168457
55,0.57,1.5220152139663696
56,0.585,1.5107775926589966
57,0.565,1.4996263980865479
58,0.58,1.4882391691207886
59,0.59,1.4769794940948486
60,0.575,1.4658159017562866
61,0.595,1.4545891284942627
62,0.595,1.4436053037643433
63,0.58,1.4324942827224731
64,0.605,1.4216326475143433
65,0.61,1.4108612537384033
66,0.595,1.3997430801391602
67,0.615,1.3893170356750488
68,0.595,1.3784868717193604
69,0.61,1.367215871810913
70,0.6,1.3564672470092773
71,0.62,1.3461003303527832
72,0.615,1.3356399536132812
73,0.62,1.3249741792678833
74,0.615,1.3139065504074097
75,0.62,1.303394079208374
76,0.625,1.2934648990631104
77,0.635,1.28287935256958
