iter,test acc,w diff
0,0.445,2.370344400405884
1,0.44,2.363952398300171
2,0.425,2.358431100845337
3,0.41,2.34938645362854
4,0.395,2.345597267150879
5,0.395,2.342985153198242
6,0.405,2.3388335704803467
7,0.395,2.3313159942626953
8,0.4,2.331653118133545
9,0.395,2.330075263977051
10,0.4,2.3247721195220947
11,0.405,2.3246428966522217
12,0.405,2.32126784324646
13,0.395,2.3143107891082764
14,0.41,2.313769578933716
15,0.41,2.3144755363464355
16,0.395,2.314502239227295
17,0.405,2.311434268951416
18,0.41,2.309877395629883
19,0.405,2.3080945014953613
20,0.41,2.301297187805176
21,0.405,2.2961902618408203
22,0.405,2.2966017723083496
23,0.4,2.288849353790283
24,0.41,2.2905433177948
25,0.395,2.2875113487243652
26,0.39,2.2865774631500244
27,0.395,2.276806354522705
28,0.39,2.2734737396240234
29,0.395,2.2683725357055664
30,0.41,2.2608001232147217
31,0.4,2.251269817352295
32,0.4,2.2492895126342773
33,0.42,2.244500160217285
34,0.4,2.244968891143799
35,0.4,2.242534637451172
36,0.395,2.235936164855957
37,0.39,2.231217384338379
38,0.385,2.2198879718780518
39,0.41,2.213991641998291
40,0.41,2.2116050720214844
41,0.41,2.2050912380218506
42,0.41,2.1990458965301514
43,0.435,2.1957128047943115
44,0.41,2.1982309818267822
45,0.415,2.1961772441864014
46,0.41,2.1940484046936035
47,0.405,2.190664052963257
48,0.41,2.1837520599365234
49,0.43,2.176161050796509
50,0.41,2.1706771850585938
51,0.425,2.1709859371185303
52,0.415,2.1632931232452393
53,0.42,2.1598165035247803
54,0.44,2.1591732501983643
55,0.415,2.157565116882324
56,0.425,2.1547000408172607
57,0.415,2.147618532180786
58,0.425,2.148139238357544
59,0.415,2.148322820663452
60,0.42,2.144932985305786
61,0.41,2.144068479537964
62,0.415,2.1361277103424072
63,0.43,2.1352932453155518
64,0.43,2.1347835063934326
65,0.43,2.1269774436950684
66,0.44,2.1201415061950684
67,0.45,2.116428852081299
68,0.435,2.1212992668151855
69,0.445,2.1250686645507812
70,0.445,2.1188595294952393
71,0.47,2.111985683441162
72,0.445,2.1055946350097656
73,0.475,2.09747314453125
74,0.455,2.0960299968719482
75,0.45,2.0970442295074463
76,0.45,2.0905206203460693
77,0.445,2.0910637378692627
78,0.435,2.093074083328247
79,0.435,2.0898396968841553
80,0.445,2.0859646797180176
81,0.465,2.0794742107391357
82,0.43,2.0776238441467285
83,0.46,2.0763652324676514
84,0.44,2.075812339782715
85,0.46,2.0699355602264404
86,0.445,2.0698843002319336
87,0.47,2.0651886463165283
88,0.455,2.060694456100464
89,0.47,2.0603044033050537
90,0.45,2.0589041709899902
91,0.47,2.0548222064971924
92,0.475,2.0543372631073
93,0.47,2.050877094268799
94,0.475,2.041625738143921
95,0.475,2.0445711612701416
96,0.48,2.040705680847168
97,0.495,2.039703845977783
98,0.475,2.0358147621154785
99,0.475,2.030759811401367
100,0.5,2.0266358852386475
101,0.485,2.0188910961151123
102,0.47,2.0139169692993164
103,0.475,2.0090928077697754
104,0.49,2.011138439178467
105,0.475,2.008786916732788
106,0.49,2.008962869644165
107,0.47,1.995832920074463
108,0.49,1.9938225746154785
109,0.485,1.9963109493255615
110,0.49,1.9957079887390137
111,0.495,1.9863293170928955
112,0.5,1.9811278581619263
113,0.495,1.9824219942092896
114,0.485,1.9835134744644165
115,0.51,1.9777134656906128
116,0.485,1.9792721271514893
117,0.5,1.9782243967056274
118,0.48,1.9740296602249146
119,0.5,1.97090482711792
120,0.49,1.9624624252319336
121,0.52,1.9607082605361938
122,0.495,1.9519952535629272
123,0.495,1.9487385749816895
124,0.515,1.9480220079421997
125,0.52,1.9455766677856445
126,0.495,1.9413255453109741
127,0.5,1.9371588230133057
128,0.51,1.9348714351654053
129,0.51,1.9371800422668457
130,0.505,1.9325957298278809
131,0.52,1.9366567134857178
132,0.515,1.9261324405670166
133,0.52,1.917024850845337
134,0.51,1.9124641418457031
135,0.505,1.9099756479263306
136,0.525,1.9103116989135742
137,0.525,1.9033706188201904
138,0.53,1.893521785736084
139,0.515,1.8865540027618408
140,0.52,1.8826103210449219
141,0.525,1.878166913986206
142,0.515,1.8716158866882324
143,0.525,1.8707343339920044
144,0.525,1.8737643957138062
145,0.53,1.8674565553665161
146,0.52,1.8683199882507324
147,0.525,1.8685400485992432
148,0.525,1.8636786937713623
149,0.52,1.8616746664047241
150,0.53,1.8563235998153687
151,0.535,1.857529640197754
152,0.55,1.8520022630691528
153,0.525,1.8471115827560425
154,0.545,1.8448224067687988
155,0.535,1.8456388711929321
156,0.525,1.8414841890335083
157,0.545,1.8379422426223755
158,0.56,1.8307132720947266
159,0.56,1.8247241973876953
160,0.54,1.822640061378479
161,0.555,1.8138213157653809
162,0.56,1.8113497495651245
163,0.57,1.8062939643859863
164,0.57,1.8014049530029297
165,0.565,1.8007192611694336
166,0.57,1.7964040040969849
167,0.565,1.7926853895187378
168,0.565,1.786373257637024
169,0.57,1.7833670377731323
170,0.58,1.7815825939178467
171,0.56,1.7789756059646606
172,0.565,1.774056077003479
173,0.565,1.766686201095581
174,0.58,1.7649712562561035
175,0.57,1.7586489915847778
176,0.57,1.7565572261810303
177,0.585,1.7501002550125122
178,0.57,1.745568871498108
179,0.58,1.7467143535614014
180,0.575,1.7446485757827759
181,0.58,1.7404814958572388
182,0.58,1.7293013334274292
183,0.58,1.7251702547073364
184,0.58,1.7206969261169434
185,0.575,1.7148195505142212
186,0.575,1.7171697616577148
187,0.575,1.7146247625350952
188,0.585,1.710769772529602
189,0.57,1.7110426425933838
190,0.585,1.7083772420883179
191,0.575,1.7033077478408813
192,0.585,1.6968767642974854
193,0.58,1.6920703649520874
194,0.61,1.69259512424469
195,0.605,1.6904164552688599
196,0.605,1.6931767463684082
197,0.615,1.6887770891189575
198,0.61,1.682223916053772
199,0.6,1.6808117628097534
200,0.585,1.6796824932098389
201,0.585,1.6703168153762817
202,0.61,1.6645824909210205
203,0.62,1.662117600440979
204,0.615,1.6604121923446655
205,0.615,1.6579365730285645
206,0.615,1.6549683809280396
207,0.615,1.6517016887664795
208,0.62,1.6500128507614136
209,0.625,1.6446518898010254
210,0.615,1.6421068906784058
211,0.6,1.6373350620269775
212,0.61,1.630898118019104
213,0.605,1.6294357776641846
214,0.595,1.6278928518295288
215,0.58,1.6254544258117676
216,0.58,1.6247003078460693
217,0.585,1.6202257871627808
218,0.6,1.6206464767456055
219,0.615,1.617841362953186
220,0.59,1.6165275573730469
221,0.59,1.6147762537002563
222,0.585,1.6128805875778198
223,0.575,1.6113137006759644
224,0.565,1.6080631017684937
225,0.595,1.6046442985534668
226,0.58,1.6039068698883057
227,0.57,1.5982691049575806
228,0.595,1.5952783823013306
229,0.59,1.5918385982513428
230,0.595,1.5903311967849731
231,0.575,1.5920590162277222
232,0.59,1.5825556516647339
233,0.6,1.5793201923370361
234,0.6,1.574536681175232
235,0.615,1.572848916053772
236,0.62,1.5703203678131104
237,0.615,1.5679538249969482
238,0.62,1.564632773399353
239,0.645,1.5615140199661255
240,0.63,1.5578793287277222
241,0.625,1.556410789489746
242,0.625,1.5512858629226685
243,0.625,1.5472357273101807
244,0.635,1.5431219339370728
245,0.645,1.547524333000183
246,0.635,1.5438716411590576
247,0.625,1.5468659400939941
248,0.62,1.5443962812423706
249,0.63,1.5410796403884888
250,0.64,1.539971113204956
251,0.63,1.5370075702667236
252,0.63,1.5339288711547852
253,0.63,1.529184103012085
254,0.63,1.5261491537094116
255,0.625,1.5216768980026245
256,0.655,1.5185363292694092
257,0.64,1.5133857727050781
258,0.625,1.5070812702178955
259,0.635,1.5043774843215942
260,0.62,1.497794508934021
261,0.63,1.4918980598449707
262,0.61,1.4911150932312012
263,0.63,1.4864091873168945
264,0.62,1.4825146198272705
265,0.61,1.4824655055999756
266,0.605,1.479820966720581
267,0.615,1.479461669921875
268,0.615,1.4781056642532349
269,0.61,1.4742368459701538
270,0.59,1.4729639291763306
271,0.6,1.4693162441253662
272,0.59,1.4707818031311035
273,0.6,1.468553066253662
274,0.615,1.4631608724594116
275,0.61,1.4605388641357422
276,0.625,1.454332947731018
277,0.61,1.4547039270401
278,0.625,1.4526698589324951
279,0.615,1.4482091665267944
280,0.61,1.4493749141693115
281,0.635,1.4427562952041626
282,0.645,1.4302277565002441
283,0.635,1.4286118745803833
284,0.645,1.4277698993682861
285,0.66,1.4309762716293335
286,0.67,1.4281843900680542
287,0.645,1.4280556440353394
288,0.655,1.4260897636413574
289,0.66,1.424553632736206
290,0.665,1.4253530502319336
291,0.66,1.4215112924575806
292,0.65,1.419318437576294
293,0.66,1.417288899421692
294,0.66,1.4135291576385498
295,0.66,1.4086790084838867
296,0.675,1.4040887355804443
297,0.68,1.4033336639404297
298,0.675,1.404440999031067
299,0.68,1.400383472442627
