iter,test acc,w diff
0,0.53,1.0500353574752808
1,0.525,1.010596752166748
2,0.525,0.9900080561637878
3,0.53,0.9692162871360779
4,0.53,0.9506015777587891
5,0.525,0.9080792665481567
6,0.535,0.8654811382293701
7,0.54,0.8235653638839722
8,0.54,0.8043298721313477
9,0.545,0.7629485130310059
10,0.545,0.7220622897148132
11,0.555,0.7061107158660889
12,0.555,0.6927339434623718
13,0.575,0.65379399061203
14,0.585,0.6161055564880371
15,0.59,0.581376314163208
16,0.6,0.5458329319953918
17,0.6,0.5135306119918823
18,0.605,0.48276105523109436
19,0.605,0.47186774015426636
20,0.61,0.44281771779060364
21,0.61,0.4160144329071045
22,0.61,0.40740466117858887
23,0.61,0.398982971906662
24,0.62,0.37465348839759827
25,0.62,0.35318899154663086
26,0.62,0.34599554538726807
27,0.625,0.33913424611091614
28,0.625,0.33254140615463257
29,0.63,0.32569563388824463
30,0.645,0.3079274892807007
31,0.655,0.30216413736343384
32,0.655,0.2969721257686615
33,0.67,0.2817733585834503
34,0.67,0.27735212445259094
35,0.68,0.2640942931175232
36,0.68,0.25986140966415405
37,0.69,0.24773314595222473
38,0.7,0.24386553466320038
39,0.71,0.23379778861999512
40,0.71,0.22430461645126343
41,0.705,0.21465016901493073
42,0.715,0.20592918992042542
43,0.71,0.20275570452213287
44,0.715,0.19968993961811066
45,0.74,0.1920895278453827
46,0.745,0.18527968227863312
47,0.745,0.18253013491630554
48,0.75,0.17990607023239136
49,0.755,0.17391277849674225
50,0.765,0.17188696563243866
51,0.775,0.16962948441505432
52,0.775,0.16446161270141602
53,0.79,0.15944799780845642
54,0.795,0.15737856924533844
55,0.805,0.15271581709384918
56,0.805,0.14866995811462402
57,0.81,0.14678604900836945
58,0.81,0.1425369828939438
59,0.81,0.13880692422389984
60,0.81,0.13710463047027588
61,0.815,0.13384923338890076
62,0.815,0.1305961310863495
63,0.815,0.1291247308254242
64,0.815,0.12608568370342255
65,0.815,0.12302790582180023
66,0.815,0.12167079746723175
67,0.82,0.11885684728622437
68,0.82,0.11632201075553894
69,0.82,0.11487795412540436
70,0.82,0.11249615252017975
71,0.825,0.1103328987956047
72,0.83,0.10810212790966034
73,0.83,0.1060856431722641
74,0.83,0.10416040569543839
75,0.83,0.10310549288988113
76,0.83,0.10198017954826355
77,0.83,0.10016046464443207
78,0.835,0.09833139181137085
79,0.835,0.0973135232925415
80,0.835,0.09560281038284302
81,0.835,0.09463535994291306
82,0.835,0.09300413727760315
83,0.83,0.09221774339675903
84,0.83,0.09069002419710159
85,0.83,0.08930877596139908
86,0.83,0.08849068731069565
87,0.84,0.08707268536090851
88,0.84,0.08563537895679474
89,0.84,0.08435772359371185
90,0.84,0.08309794217348099
91,0.845,0.08241338282823563
92,0.84,0.08169765770435333
93,0.84,0.08038298785686493
94,0.84,0.07924707233905792
95,0.84,0.07813794910907745
96,0.84,0.07699594646692276
97,0.84,0.07587325572967529
98,0.84,0.07486964017152786
99,0.84,0.0738644227385521
100,0.84,0.07290682941675186
101,0.84,0.07234860211610794
102,0.84,0.07179218530654907
103,0.84,0.0711173489689827
104,0.84,0.07052052766084671
105,0.84,0.0699019730091095
106,0.845,0.06896506994962692
107,0.845,0.06804455071687698
108,0.845,0.06743619590997696
109,0.845,0.06662053614854813
110,0.845,0.06588984280824661
111,0.845,0.06535336375236511
112,0.845,0.06463968008756638
113,0.845,0.0639444962143898
114,0.845,0.06343133747577667
115,0.845,0.06266631931066513
116,0.845,0.06220545247197151
117,0.845,0.06178448721766472
118,0.845,0.06114637479186058
119,0.845,0.06053020432591438
120,0.845,0.060070354491472244
121,0.84,0.05959111079573631
122,0.84,0.05914488807320595
123,0.84,0.05861479043960571
124,0.84,0.05805325508117676
125,0.84,0.057514484971761703
126,0.845,0.05708494782447815
127,0.845,0.05652027577161789
128,0.845,0.05614767223596573
129,0.845,0.055805597454309464
130,0.85,0.05546363815665245
131,0.85,0.05492660403251648
132,0.85,0.054407067596912384
133,0.85,0.05395786091685295
134,0.85,0.05345841869711876
135,0.85,0.052965518087148666
136,0.85,0.052509237080812454
137,0.855,0.05217723548412323
138,0.86,0.05186910182237625
139,0.86,0.051418766379356384
140,0.855,0.050999682396650314
141,0.855,0.0505707785487175
142,0.855,0.05027100443840027
143,0.855,0.049998026341199875
144,0.855,0.04970872029662132
145,0.855,0.04930531978607178
146,0.855,0.04903683438897133
147,0.855,0.048643071204423904
148,0.855,0.04837307706475258
149,0.85,0.04809953644871712
150,0.85,0.047759074717760086
151,0.855,0.047502364963293076
152,0.855,0.04716018959879875
153,0.855,0.04688528925180435
154,0.855,0.04652073606848717
155,0.855,0.04619269445538521
156,0.855,0.045858677476644516
157,0.855,0.04551798105239868
158,0.855,0.045213256031274796
159,0.855,0.044992055743932724
160,0.855,0.044670771807432175
161,0.855,0.04438190907239914
162,0.855,0.044067829847335815
163,0.855,0.04384686052799225
164,0.855,0.04364211484789848
165,0.855,0.043355826288461685
166,0.855,0.04317408427596092
167,0.855,0.04297983646392822
168,0.855,0.04277966544032097
169,0.855,0.04257064312696457
170,0.855,0.042271193116903305
171,0.855,0.04200631380081177
172,0.855,0.041835710406303406
173,0.855,0.04158417880535126
174,0.855,0.041312847286462784
175,0.855,0.041151706129312515
176,0.855,0.04097941890358925
177,0.855,0.040828075259923935
178,0.855,0.0405941866338253
179,0.855,0.04038163274526596
180,0.855,0.04020867496728897
181,0.855,0.04000994935631752
182,0.855,0.03986899182200432
183,0.855,0.03971175104379654
184,0.855,0.03950290381908417
185,0.855,0.03932614624500275
186,0.855,0.03916628286242485
187,0.855,0.038973502814769745
188,0.855,0.0388246588408947
189,0.855,0.03868572413921356
190,0.855,0.038508035242557526
191,0.855,0.038366690278053284
192,0.855,0.03821674734354019
193,0.855,0.0380750335752964
194,0.855,0.03794856742024422
195,0.855,0.03781469911336899
196,0.855,0.03767945244908333
197,0.855,0.03757690638303757
198,0.855,0.03740764036774635
199,0.855,0.03724777698516846
200,0.855,0.037140995264053345
201,0.855,0.0370342917740345
202,0.855,0.03686214238405228
203,0.855,0.036734938621520996
204,0.855,0.036626365035772324
205,0.855,0.036491502076387405
206,0.855,0.036342985928058624
207,0.86,0.03618629649281502
208,0.86,0.03608071058988571
209,0.86,0.0359165333211422
210,0.86,0.03582356870174408
211,0.86,0.035687800496816635
212,0.86,0.03558320924639702
213,0.86,0.03545062616467476
214,0.86,0.03531213104724884
215,0.86,0.035210732370615005
216,0.86,0.03512003272771835
217,0.86,0.03499573469161987
218,0.86,0.034843478351831436
219,0.86,0.03468436747789383
220,0.86,0.0346108041703701
221,0.86,0.0344829224050045
222,0.86,0.03434751555323601
223,0.86,0.034265074878931046
224,0.86,0.03413887321949005
225,0.86,0.03406178951263428
226,0.86,0.03395121917128563
227,0.86,0.03388027474284172
228,0.86,0.03376359865069389
229,0.86,0.03369007259607315
230,0.86,0.03357769176363945
231,0.86,0.03349754586815834
232,0.86,0.03338552266359329
233,0.86,0.033275991678237915
234,0.86,0.033180493861436844
235,0.86,0.033096086233854294
236,0.86,0.03297828137874603
237,0.86,0.03287075459957123
238,0.86,0.03275959566235542
239,0.86,0.03269973769783974
240,0.865,0.032631825655698776
241,0.865,0.032541777938604355
242,0.865,0.03247908875346184
243,0.865,0.03239545226097107
244,0.865,0.032347023487091064
245,0.865,0.03226250410079956
246,0.865,0.032201725989580154
247,0.865,0.03214271739125252
248,0.865,0.03206432983279228
249,0.865,0.032010264694690704
250,0.865,0.031924936920404434
251,0.865,0.031878236681222916
252,0.865,0.03178822621703148
253,0.865,0.031731847673654556
254,0.865,0.03163221478462219
255,0.865,0.03155508637428284
256,0.865,0.03147859871387482
257,0.865,0.031436361372470856
258,0.865,0.03135142847895622
