iter,test acc,w diff
0,0.52,1.6824973821640015
1,0.525,1.6749223470687866
2,0.53,1.667351484298706
3,0.535,1.6597867012023926
4,0.535,1.652233362197876
5,0.54,1.6446938514709473
6,0.535,1.6371715068817139
7,0.53,1.6296710968017578
8,0.53,1.622194528579712
9,0.53,1.614746332168579
10,0.535,1.6073294878005981
11,0.53,1.5999466180801392
12,0.53,1.5926027297973633
13,0.535,1.5852997303009033
14,0.55,1.578041672706604
15,0.54,1.570831298828125
16,0.55,1.5636717081069946
17,0.55,1.5565654039382935
18,0.565,1.5495163202285767
19,0.57,1.5425260066986084
20,0.575,1.5355980396270752
21,0.58,1.528734803199768
22,0.57,1.5219378471374512
23,0.565,1.5152106285095215
24,0.555,1.508554220199585
25,0.565,1.5019714832305908
26,0.58,1.4954638481140137
27,0.585,1.4890333414077759
28,0.58,1.4826806783676147
29,0.59,1.4764087200164795
30,0.595,1.4702178239822388
31,0.61,1.4641093015670776
32,0.605,1.4580841064453125
33,0.605,1.4521434307098389
34,0.605,1.446269154548645
35,0.605,1.4404793977737427
36,0.61,1.4347398281097412
37,0.61,1.4290752410888672
38,0.6,1.4235082864761353
39,0.615,1.4179826974868774
40,0.61,1.4125351905822754
41,0.605,1.407194972038269
42,0.615,1.4018890857696533
43,0.61,1.396734356880188
44,0.61,1.3914424180984497
45,0.61,1.386299967765808
46,0.62,1.3810313940048218
47,0.61,1.3759292364120483
48,0.615,1.3707131147384644
49,0.615,1.3656604290008545
50,0.615,1.3604071140289307
51,0.615,1.3553937673568726
52,0.62,1.3501571416854858
53,0.61,1.3451359272003174
54,0.62,1.3399263620376587
55,0.615,1.3349668979644775
56,0.62,1.329824447631836
57,0.62,1.3247014284133911
58,0.615,1.319703459739685
59,0.62,1.3145983219146729
60,0.62,1.3096423149108887
61,0.625,1.3046153783798218
62,0.62,1.2996652126312256
63,0.63,1.294593095779419
64,0.62,1.2897064685821533
65,0.625,1.284654974937439
66,0.62,1.2798105478286743
67,0.62,1.2747806310653687
68,0.62,1.269925594329834
69,0.62,1.2649955749511719
70,0.62,1.2602216005325317
71,0.62,1.2552287578582764
72,0.62,1.2504963874816895
73,0.625,1.245527744293213
