iter,test acc,w diff
0,0.165,3.7982585430145264
1,0.165,3.7990517616271973
2,0.165,3.799043893814087
3,0.165,3.794710874557495
4,0.165,3.792027711868286
5,0.17,3.7899954319000244
6,0.17,3.7902586460113525
7,0.17,3.7898929119110107
8,0.17,3.7892940044403076
9,0.17,3.7885324954986572
10,0.17,3.790288209915161
11,0.17,3.7864608764648438
12,0.175,3.782531261444092
13,0.175,3.7802836894989014
14,0.175,3.7805535793304443
15,0.17,3.7762889862060547
16,0.17,3.7768287658691406
17,0.17,3.7781660556793213
18,0.17,3.776150941848755
19,0.175,3.7754883766174316
20,0.175,3.77217435836792
21,0.175,3.7699806690216064
22,0.175,3.766469955444336
23,0.175,3.7651374340057373
24,0.175,3.767167091369629
25,0.175,3.7633097171783447
26,0.175,3.763796329498291
27,0.175,3.762617349624634
28,0.175,3.7609055042266846
29,0.175,3.7601981163024902
30,0.175,3.758493185043335
31,0.175,3.756573438644409
32,0.175,3.7589786052703857
33,0.175,3.7601006031036377
34,0.175,3.759364128112793
35,0.175,3.756605386734009
36,0.175,3.757845640182495
37,0.175,3.7536203861236572
38,0.175,3.7538139820098877
39,0.175,3.7493085861206055
40,0.18,3.7463955879211426
41,0.18,3.7419142723083496
42,0.18,3.7408287525177
43,0.18,3.7439382076263428
44,0.18,3.7436633110046387
45,0.18,3.7437524795532227
46,0.18,3.7437589168548584
47,0.18,3.744807481765747
48,0.18,3.7410080432891846
49,0.18,3.740532159805298
50,0.18,3.738208055496216
51,0.18,3.7372794151306152
52,0.175,3.7320096492767334
53,0.175,3.7321856021881104
54,0.175,3.7319750785827637
55,0.18,3.7277445793151855
56,0.18,3.723335027694702
57,0.18,3.718508243560791
58,0.18,3.720898389816284
59,0.18,3.7179203033447266
60,0.18,3.718264579772949
61,0.18,3.716505527496338
62,0.18,3.7129671573638916
63,0.19,3.7089920043945312
64,0.19,3.7106359004974365
65,0.18,3.7141804695129395
66,0.18,3.713205575942993
67,0.19,3.710982322692871
68,0.19,3.710721492767334
69,0.185,3.7124674320220947
70,0.19,3.709139347076416
71,0.19,3.708401918411255
72,0.19,3.7029812335968018
73,0.19,3.7020246982574463
74,0.19,3.7005441188812256
75,0.19,3.7025935649871826
76,0.19,3.7005467414855957
77,0.19,3.700303316116333
78,0.185,3.696593999862671
79,0.18,3.6911611557006836
80,0.18,3.6887850761413574
81,0.18,3.68380069732666
82,0.185,3.6820578575134277
83,0.185,3.6800122261047363
84,0.185,3.681699275970459
85,0.185,3.679396152496338
86,0.185,3.679481267929077
87,0.185,3.6771578788757324
88,0.19,3.6740200519561768
89,0.19,3.669548749923706
90,0.19,3.666386604309082
91,0.19,3.667980432510376
92,0.19,3.663163423538208
93,0.19,3.660759925842285
94,0.19,3.6589276790618896
95,0.195,3.654130220413208
96,0.195,3.6512699127197266
97,0.195,3.652407169342041
98,0.195,3.652148485183716
99,0.195,3.6500136852264404
100,0.195,3.645125389099121
101,0.195,3.6441986560821533
102,0.195,3.6481080055236816
103,0.195,3.650891065597534
104,0.195,3.650913715362549
105,0.195,3.6491026878356934
106,0.195,3.652737617492676
107,0.195,3.651170253753662
108,0.195,3.6485533714294434
109,0.195,3.6434123516082764
110,0.2,3.6391353607177734
111,0.2,3.6353681087493896
112,0.2,3.6379566192626953
113,0.2,3.6372735500335693
114,0.2,3.635850429534912
115,0.2,3.6352758407592773
116,0.2,3.6297130584716797
117,0.2,3.6301796436309814
118,0.2,3.628183364868164
119,0.205,3.624509334564209
120,0.205,3.618201494216919
121,0.205,3.618767023086548
122,0.205,3.6203718185424805
123,0.205,3.6180613040924072
124,0.205,3.611638069152832
125,0.205,3.6079294681549072
126,0.205,3.6042191982269287
127,0.205,3.5995030403137207
128,0.2,3.594231605529785
129,0.2,3.5941295623779297
130,0.21,3.5901038646698
131,0.21,3.5845134258270264
132,0.21,3.586365222930908
133,0.21,3.5843913555145264
134,0.21,3.584063768386841
135,0.21,3.5858261585235596
136,0.21,3.586233377456665
137,0.21,3.5851056575775146
138,0.21,3.585190534591675
139,0.21,3.5822994709014893
140,0.21,3.5815436840057373
141,0.21,3.5837645530700684
142,0.21,3.585894823074341
143,0.21,3.5840394496917725
144,0.205,3.5787618160247803
145,0.205,3.5788843631744385
146,0.21,3.58161997795105
147,0.21,3.579556941986084
148,0.21,3.5798604488372803
149,0.205,3.5781164169311523
150,0.205,3.5759365558624268
151,0.205,3.571984052658081
152,0.205,3.5715537071228027
153,0.205,3.572505474090576
154,0.205,3.5698652267456055
155,0.205,3.5701234340667725
156,0.205,3.56962251663208
157,0.205,3.5642824172973633
158,0.205,3.568861246109009
159,0.205,3.5624794960021973
160,0.205,3.5581438541412354
161,0.21,3.5572710037231445
162,0.21,3.557283401489258
163,0.21,3.5562539100646973
164,0.21,3.552830934524536
165,0.21,3.555711507797241
166,0.21,3.552109479904175
167,0.21,3.5502231121063232
168,0.21,3.5498125553131104
169,0.21,3.5467522144317627
170,0.21,3.545051097869873
171,0.21,3.5476934909820557
172,0.21,3.551433801651001
173,0.21,3.550819158554077
174,0.21,3.5466063022613525
175,0.21,3.545380115509033
176,0.215,3.5399794578552246
177,0.225,3.5348589420318604
178,0.225,3.533374547958374
179,0.225,3.5310802459716797
180,0.225,3.5305542945861816
181,0.225,3.525223970413208
182,0.225,3.5256621837615967
183,0.225,3.523008108139038
184,0.225,3.516475200653076
185,0.225,3.51343035697937
186,0.225,3.5144190788269043
187,0.225,3.5122873783111572
188,0.225,3.513092517852783
189,0.225,3.511289596557617
190,0.225,3.5118846893310547
191,0.225,3.5098209381103516
192,0.225,3.5046489238739014
193,0.225,3.4989736080169678
194,0.225,3.493136405944824
195,0.225,3.492910861968994
196,0.225,3.492553472518921
197,0.23,3.490023136138916
198,0.23,3.4900364875793457
199,0.23,3.4823389053344727
200,0.23,3.4789342880249023
201,0.23,3.475955009460449
202,0.23,3.4802911281585693
203,0.23,3.4795520305633545
204,0.23,3.481687545776367
205,0.23,3.4791455268859863
206,0.23,3.4789493083953857
207,0.23,3.475938081741333
208,0.23,3.4700872898101807
209,0.23,3.4673681259155273
210,0.23,3.465386390686035
211,0.235,3.46154522895813
212,0.235,3.4574503898620605
213,0.24,3.4546332359313965
214,0.235,3.4559953212738037
215,0.24,3.4503655433654785
216,0.24,3.4554824829101562
217,0.24,3.4508605003356934
218,0.24,3.4502007961273193
219,0.24,3.4503822326660156
220,0.24,3.449782609939575
221,0.24,3.4549293518066406
222,0.24,3.447662353515625
223,0.24,3.4430456161499023
