iter,test acc,w diff
0,0.5,1.599287748336792
1,0.5,1.5838195085525513
2,0.5,1.568510890007019
3,0.51,1.5533976554870605
4,0.51,1.5385152101516724
5,0.51,1.5238964557647705
6,0.5,1.5095752477645874
7,0.5,1.4955826997756958
8,0.5,1.4819462299346924
9,0.5,1.4686914682388306
10,0.5,1.4558385610580444
11,0.5,1.4435232877731323
12,0.51,1.431357979774475
13,0.51,1.4193730354309082
14,0.51,1.4076011180877686
15,0.52,1.3960728645324707
16,0.53,1.38481867313385
17,0.54,1.3738679885864258
18,0.54,1.3632477521896362
19,0.54,1.3529804944992065
20,0.54,1.3430769443511963
21,0.54,1.3335312604904175
22,0.55,1.3243886232376099
23,0.55,1.3156561851501465
24,0.56,1.3072898387908936
25,0.59,1.2993494272232056
26,0.61,1.2918205261230469
27,0.62,1.2847949266433716
28,0.63,1.2778277397155762
29,0.64,1.2714028358459473
30,0.64,1.264974594116211
31,0.64,1.2588207721710205
32,0.65,1.252752423286438
33,0.64,1.245713710784912
34,0.67,1.2394291162490845
35,0.65,1.233367681503296
36,0.7,1.2273637056350708
37,0.66,1.2202832698822021
38,0.7,1.2142549753189087
39,0.66,1.2084050178527832
40,0.7,1.202481746673584
41,0.66,1.1954015493392944
42,0.7,1.1894549131393433
43,0.67,1.1824630498886108
44,0.7,1.1764967441558838
45,0.71,1.170748233795166
46,0.71,1.1650421619415283
47,0.72,1.159396767616272
48,0.71,1.1523091793060303
49,0.71,1.1466420888900757
50,0.71,1.1411556005477905
51,0.72,1.13542640209198
52,0.71,1.1298925876617432
53,0.69,1.1229246854782104
54,0.71,1.1172629594802856
55,0.72,1.1118143796920776
56,0.71,1.1063281297683716
57,0.72,1.1009521484375
58,0.71,1.0956076383590698
59,0.72,1.0901190042495728
60,0.71,1.0847785472869873
61,0.71,1.0777924060821533
62,0.71,1.072363257408142
63,0.75,1.0660386085510254
64,0.71,1.0607216358184814
65,0.71,1.0537863969802856
66,0.71,1.0484908819198608
67,0.74,1.0434008836746216
68,0.73,1.0382765531539917
69,0.75,1.0320826768875122
70,0.75,1.0270434617996216
71,0.73,1.0221121311187744
72,0.75,1.0171469449996948
73,0.73,1.0101994276046753
74,0.73,1.0052162408828735
75,0.76,0.9991925358772278
76,0.76,0.9941691756248474
77,0.73,0.9885985851287842
78,0.76,0.9835368394851685
79,0.73,0.9780892133712769
80,0.76,0.9719350934028625
81,0.74,0.9650601148605347
82,0.75,0.9603415131568909
83,0.74,0.9557939171791077
84,0.75,0.9511498808860779
85,0.76,0.9453553557395935
86,0.75,0.9398102760314941
87,0.74,0.9330884218215942
88,0.75,0.9285169839859009
89,0.75,0.9239705204963684
90,0.75,0.9195013046264648
91,0.77,0.9138321280479431
92,0.75,0.9084481596946716
93,0.76,0.9040449857711792
94,0.75,0.8988512754440308
95,0.76,0.8944255709648132
96,0.74,0.8902368545532227
97,0.79,0.884661853313446
98,0.76,0.8795531988143921
99,0.78,0.8752803802490234
100,0.76,0.8686381578445435
101,0.79,0.8644533157348633
102,0.76,0.8595119714736938
103,0.78,0.8553070425987244
104,0.76,0.8505489826202393
105,0.78,0.8463297486305237
106,0.8,0.8410280346870422
107,0.79,0.8370078802108765
108,0.76,0.832336962223053
109,0.78,0.8282738327980042
110,0.77,0.8219645023345947
111,0.79,0.817990243434906
112,0.77,0.8134859800338745
113,0.81,0.8081364631652832
114,0.78,0.8045030832290649
115,0.81,0.800076961517334
116,0.77,0.795608401298523
117,0.81,0.7904500961303711
118,0.8,0.7868987917900085
119,0.81,0.7826229333877563
120,0.79,0.7782282829284668
121,0.81,0.7745440602302551
122,0.8,0.7712534666061401
123,0.81,0.766360342502594
124,0.81,0.7620533108711243
125,0.81,0.757883608341217
126,0.81,0.7518681883811951
127,0.82,0.7478243708610535
128,0.81,0.7446025013923645
129,0.82,0.7399327158927917
130,0.82,0.736549437046051
131,0.81,0.7324976325035095
132,0.82,0.729081392288208
133,0.8,0.7248046398162842
134,0.81,0.7214018702507019
135,0.82,0.7181687951087952
136,0.81,0.7142398357391357
137,0.82,0.7110453844070435
138,0.81,0.707205057144165
139,0.81,0.7033265829086304
140,0.84,0.6987375020980835
141,0.82,0.6956174373626709
142,0.84,0.6918764114379883
143,0.82,0.6880741119384766
144,0.84,0.6849073767662048
145,0.82,0.6818300485610962
146,0.84,0.678762674331665
147,0.82,0.6757637858390808
148,0.84,0.6721290349960327
149,0.82,0.6684730648994446
150,0.84,0.6654413342475891
151,0.82,0.6600061058998108
152,0.84,0.6570442318916321
153,0.83,0.6541603803634644
154,0.84,0.650631308555603
155,0.83,0.647782564163208
156,0.84,0.6448574066162109
157,0.84,0.6409422159194946
158,0.84,0.6375572085380554
159,0.84,0.6347037553787231
160,0.83,0.6306517720222473
161,0.84,0.6275099515914917
162,0.84,0.6242043972015381
163,0.85,0.6207492351531982
164,0.83,0.6179940104484558
165,0.85,0.615267276763916
166,0.84,0.6125127673149109
167,0.85,0.609847903251648
168,0.83,0.6066304445266724
169,0.85,0.6033271551132202
170,0.84,0.6006045341491699
171,0.85,0.5980358123779297
172,0.84,0.5948652029037476
173,0.85,0.5913200378417969
174,0.84,0.5887084007263184
175,0.85,0.5861343741416931
176,0.84,0.5835471749305725
177,0.85,0.5810321569442749
178,0.84,0.5779957175254822
179,0.85,0.5755126476287842
180,0.84,0.5730390548706055
181,0.85,0.5705601572990417
182,0.83,0.5657360553741455
183,0.85,0.5631093978881836
184,0.84,0.5602242350578308
185,0.85,0.55777508020401
186,0.84,0.5553505420684814
187,0.85,0.5522742867469788
188,0.83,0.5498543381690979
189,0.85,0.5475234389305115
190,0.83,0.544677197933197
191,0.84,0.5423755645751953
192,0.84,0.539332926273346
193,0.84,0.5360440611839294
194,0.84,0.5330667495727539
195,0.84,0.5307655930519104
196,0.84,0.5261046290397644
197,0.84,0.5237146615982056
198,0.84,0.5209821462631226
199,0.84,0.5186033844947815
200,0.83,0.5159289836883545
201,0.84,0.5137113928794861
