iter,test acc,w diff
0,0.56,1.832443118095398
1,0.56,1.8346455097198486
2,0.54,1.831038236618042
3,0.54,1.8278759717941284
4,0.56,1.8257839679718018
5,0.55,1.8200798034667969
6,0.57,1.8176122903823853
7,0.55,1.8133265972137451
8,0.55,1.8144031763076782
9,0.56,1.8127509355545044
10,0.55,1.8075275421142578
11,0.55,1.805665373802185
12,0.56,1.8037663698196411
13,0.55,1.801213264465332
14,0.56,1.800920844078064
15,0.58,1.7983176708221436
16,0.57,1.7978339195251465
17,0.57,1.7962110042572021
18,0.56,1.7959263324737549
19,0.55,1.7971620559692383
20,0.56,1.796602725982666
21,0.57,1.7916404008865356
22,0.57,1.7910889387130737
23,0.56,1.790413498878479
24,0.54,1.79007089138031
25,0.52,1.783708930015564
26,0.49,1.782504916191101
27,0.49,1.7815603017807007
28,0.51,1.7808946371078491
29,0.53,1.7742253541946411
30,0.5,1.7742681503295898
31,0.53,1.7742557525634766
32,0.5,1.777551531791687
33,0.5,1.7764954566955566
34,0.53,1.7739665508270264
35,0.52,1.7699387073516846
36,0.5,1.767372727394104
37,0.52,1.7644813060760498
38,0.53,1.7612979412078857
39,0.57,1.7635095119476318
40,0.56,1.7612271308898926
41,0.54,1.7608797550201416
42,0.59,1.7619413137435913
43,0.57,1.7623103857040405
44,0.55,1.7592883110046387
45,0.59,1.7553000450134277
46,0.59,1.7544931173324585
47,0.59,1.7532720565795898
48,0.57,1.7471104860305786
49,0.51,1.7435503005981445
50,0.52,1.741215705871582
51,0.57,1.7407208681106567
52,0.58,1.736393690109253
53,0.58,1.737257719039917
54,0.57,1.7372452020645142
55,0.58,1.7335673570632935
56,0.58,1.734350323677063
57,0.55,1.7329680919647217
58,0.58,1.7276371717453003
59,0.58,1.726279616355896
60,0.56,1.7263165712356567
61,0.57,1.72334885597229
62,0.57,1.7189000844955444
63,0.58,1.7132370471954346
64,0.57,1.711068868637085
65,0.57,1.7093960046768188
66,0.57,1.7062385082244873
67,0.57,1.7049400806427002
68,0.58,1.7059128284454346
69,0.58,1.7069779634475708
70,0.59,1.7053849697113037
71,0.58,1.7044187784194946
