iter,test acc,w diff
0,0.56,1.0839250087738037
1,0.57,1.0816608667373657
2,0.57,1.0786277055740356
3,0.57,1.0745294094085693
4,0.57,1.0735018253326416
5,0.57,1.0719072818756104
6,0.57,1.0717970132827759
7,0.57,1.0697168111801147
8,0.56,1.0674796104431152
9,0.56,1.0659228563308716
10,0.56,1.0641424655914307
11,0.56,1.0625264644622803
12,0.56,1.0598329305648804
13,0.57,1.0589841604232788
14,0.57,1.0576584339141846
15,0.56,1.0564486980438232
16,0.56,1.0550066232681274
17,0.57,1.0521937608718872
18,0.57,1.0516594648361206
19,0.57,1.0465443134307861
20,0.57,1.0448871850967407
21,0.57,1.043405294418335
22,0.57,1.0384289026260376
23,0.57,1.0363802909851074
24,0.57,1.0314384698867798
25,0.57,1.0296536684036255
26,0.57,1.0234991312026978
27,0.57,1.0190989971160889
28,0.57,1.0162752866744995
29,0.57,1.0130618810653687
30,0.57,1.0118454694747925
31,0.57,1.0077346563339233
32,0.57,1.0016065835952759
33,0.57,1.000084638595581
34,0.57,0.9986109733581543
35,0.57,0.9954347610473633
36,0.57,0.992931604385376
37,0.57,0.9912899732589722
38,0.57,0.9903573989868164
39,0.57,0.9871270656585693
40,0.57,0.9849610328674316
41,0.57,0.9832454323768616
42,0.57,0.9781154990196228
43,0.57,0.9771541953086853
44,0.57,0.9745715260505676
45,0.57,0.971605658531189
46,0.57,0.9707828760147095
47,0.57,0.9663584232330322
48,0.57,0.9643405079841614
49,0.57,0.9636095762252808
50,0.57,0.9633064866065979
51,0.57,0.9591903686523438
52,0.57,0.9566256403923035
53,0.57,0.9551224708557129
54,0.57,0.9499225616455078
55,0.57,0.9471752643585205
56,0.57,0.9446306228637695
57,0.57,0.9408274292945862
58,0.57,0.9382490515708923
59,0.57,0.9342276453971863
60,0.57,0.9334600567817688
61,0.57,0.932937502861023
62,0.57,0.9290616512298584
63,0.57,0.9240979552268982
64,0.57,0.9223181009292603
65,0.57,0.9212129712104797
66,0.57,0.9208186268806458
67,0.57,0.9204615950584412
68,0.57,0.9178535342216492
69,0.57,0.9147682785987854
70,0.57,0.9134066700935364
71,0.57,0.912407398223877
72,0.57,0.9090684056282043
73,0.57,0.9052542448043823
74,0.57,0.9046658277511597
75,0.57,0.903049886226654
76,0.57,0.8979527950286865
77,0.57,0.8955833315849304
78,0.57,0.8942640423774719
79,0.58,0.8888939619064331
80,0.58,0.8877215385437012
81,0.58,0.8852576613426208
82,0.58,0.8838435411453247
83,0.58,0.882684051990509
84,0.58,0.8796508312225342
85,0.58,0.8759652376174927
86,0.59,0.8739012479782104
87,0.59,0.8725247383117676
88,0.58,0.8706870675086975
89,0.58,0.8697475790977478
90,0.58,0.868961751461029
91,0.58,0.8678427338600159
92,0.58,0.8666515350341797
