iter,test acc,w diff
0,0.165,3.7982585430145264
1,0.165,3.79634428024292
2,0.165,3.794410228729248
3,0.165,3.7924535274505615
4,0.17,3.790475368499756
5,0.17,3.7884745597839355
6,0.17,3.786452054977417
7,0.175,3.7844061851501465
8,0.175,3.782336711883545
9,0.175,3.780245304107666
10,0.17,3.7781283855438232
11,0.175,3.7759885787963867
12,0.175,3.77382493019104
13,0.175,3.771636724472046
14,0.175,3.769423007965088
15,0.175,3.7671828269958496
16,0.175,3.7649195194244385
17,0.175,3.762629508972168
18,0.175,3.7603137493133545
19,0.175,3.7579710483551025
20,0.175,3.7556004524230957
21,0.175,3.753204107284546
22,0.175,3.750779151916504
23,0.175,3.7483272552490234
24,0.18,3.7458465099334717
25,0.18,3.7433371543884277
26,0.18,3.7407991886138916
27,0.18,3.7382311820983887
28,0.175,3.7356350421905518
29,0.175,3.7330069541931152
30,0.175,3.7303481101989746
31,0.18,3.7276601791381836
32,0.18,3.7249398231506348
33,0.18,3.7221882343292236
34,0.18,3.719404935836792
35,0.18,3.716588258743286
36,0.18,3.7137389183044434
37,0.19,3.710855007171631
38,0.19,3.707939624786377
39,0.19,3.704988718032837
40,0.19,3.7020037174224854
41,0.185,3.6989829540252686
42,0.185,3.6959269046783447
43,0.18,3.692835569381714
44,0.18,3.6897075176239014
45,0.18,3.686542272567749
46,0.185,3.6833393573760986
47,0.185,3.6800994873046875
48,0.185,3.6768205165863037
49,0.19,3.6735036373138428
50,0.19,3.6701464653015137
51,0.19,3.666750431060791
52,0.19,3.663313150405884
53,0.19,3.6598358154296875
54,0.195,3.6563167572021484
55,0.195,3.6527557373046875
56,0.195,3.649153232574463
57,0.195,3.645507335662842
58,0.195,3.6418192386627197
59,0.2,3.6380856037139893
60,0.2,3.634308099746704
61,0.2,3.6304852962493896
62,0.205,3.6266181468963623
63,0.205,3.6227035522460938
64,0.205,3.618741750717163
65,0.205,3.6147348880767822
66,0.205,3.6106793880462646
67,0.205,3.606574773788452
68,0.205,3.602421760559082
69,0.205,3.5982184410095215
70,0.2,3.593965768814087
71,0.21,3.5896620750427246
72,0.21,3.585306406021118
73,0.21,3.5808990001678467
74,0.205,3.57643985748291
75,0.205,3.5719268321990967
76,0.205,3.5673611164093018
77,0.205,3.562739133834839
78,0.205,3.5580637454986572
79,0.21,3.553331136703491
80,0.215,3.5485434532165527
81,0.215,3.543698787689209
82,0.215,3.538794755935669
83,0.225,3.53383469581604
84,0.225,3.528813600540161
85,0.225,3.5237338542938232
86,0.225,3.5185952186584473
87,0.225,3.5133941173553467
88,0.225,3.5081307888031006
89,0.225,3.502807140350342
90,0.225,3.4974193572998047
91,0.23,3.4919683933258057
92,0.23,3.4864537715911865
93,0.23,3.48087215423584
94,0.23,3.4752261638641357
95,0.23,3.4695143699645996
