iter,test acc,w diff
0,0.3,3.0245110988616943
1,0.3,3.0239675045013428
2,0.3,3.023240327835083
3,0.3,3.025040864944458
4,0.3,3.024843215942383
5,0.3,3.021794080734253
6,0.3,3.0214009284973145
7,0.3,3.018925905227661
8,0.3,3.018754005432129
9,0.3,3.019573926925659
10,0.3,3.0195133686065674
11,0.3,3.017209529876709
12,0.3,3.0188841819763184
13,0.3,3.0193161964416504
14,0.3,3.017282009124756
15,0.3,3.0165162086486816
16,0.3,3.017615795135498
17,0.3,3.019141435623169
18,0.3,3.0176775455474854
19,0.3,3.0174672603607178
20,0.3,3.017991542816162
21,0.3,3.0154802799224854
22,0.3,3.013657331466675
23,0.3,3.0147695541381836
24,0.3,3.0157246589660645
25,0.3,3.016078233718872
26,0.3,3.0146329402923584
27,0.3,3.0151114463806152
28,0.305,3.012892961502075
29,0.305,3.0117945671081543
30,0.31,3.009566068649292
31,0.31,3.009422540664673
32,0.31,3.006645441055298
33,0.31,3.0049502849578857
34,0.31,3.0035667419433594
35,0.31,3.0031349658966064
36,0.31,3.002718210220337
37,0.31,3.0012776851654053
38,0.31,2.9997801780700684
39,0.31,2.996445894241333
40,0.31,2.996056318283081
41,0.31,2.9952549934387207
42,0.31,2.9934945106506348
43,0.31,2.9910590648651123
44,0.31,2.9888968467712402
45,0.31,2.987874746322632
46,0.31,2.9872055053710938
47,0.31,2.9839587211608887
48,0.31,2.981928586959839
49,0.31,2.981193780899048
50,0.32,2.979149103164673
51,0.32,2.977084159851074
52,0.32,2.9763078689575195
53,0.315,2.973797559738159
54,0.315,2.9727275371551514
55,0.315,2.97298526763916
56,0.315,2.972747802734375
57,0.315,2.9701757431030273
58,0.315,2.969644784927368
59,0.315,2.9668755531311035
60,0.315,2.9658875465393066
61,0.315,2.9667510986328125
62,0.315,2.96578049659729
63,0.315,2.9642748832702637
64,0.315,2.9629061222076416
65,0.315,2.964479684829712
66,0.315,2.9624691009521484
67,0.315,2.9617457389831543
68,0.315,2.960632562637329
69,0.315,2.9599568843841553
70,0.315,2.957245111465454
71,0.315,2.9555130004882812
72,0.315,2.9560282230377197
73,0.315,2.9535109996795654
74,0.315,2.9527392387390137
75,0.315,2.9506027698516846
76,0.315,2.9486937522888184
