iter,test acc,w diff
0,0.29,3.0952203273773193
1,0.29,3.0939197540283203
2,0.29,3.0925283432006836
3,0.29,3.0917696952819824
4,0.29,3.0905396938323975
5,0.29,3.0898256301879883
6,0.29,3.088275194168091
7,0.29,3.086940050125122
8,0.29,3.085531711578369
9,0.29,3.08512020111084
10,0.29,3.084446430206299
11,0.29,3.0826022624969482
12,0.29,3.081634044647217
13,0.29,3.0799484252929688
14,0.29,3.077544689178467
15,0.29,3.0762670040130615
16,0.29,3.0754899978637695
17,0.29,3.0733447074890137
18,0.29,3.072207450866699
19,0.29,3.0707976818084717
20,0.29,3.069915771484375
21,0.29,3.067624568939209
22,0.29,3.0655465126037598
23,0.29,3.0637154579162598
24,0.29,3.0623691082000732
25,0.29,3.0619893074035645
26,0.29,3.06046724319458
27,0.29,3.0591814517974854
28,0.29,3.0572550296783447
29,0.29,3.055330753326416
30,0.29,3.0533647537231445
31,0.29,3.052952527999878
32,0.29,3.0511133670806885
33,0.29,3.0484604835510254
34,0.29,3.046581506729126
35,0.29,3.045400381088257
36,0.29,3.0430986881256104
37,0.29,3.042133331298828
38,0.29,3.0413553714752197
39,0.29,3.0413105487823486
40,0.29,3.0389468669891357
41,0.29,3.038316249847412
42,0.29,3.036285638809204
43,0.29,3.034801483154297
44,0.29,3.033961296081543
45,0.29,3.0327608585357666
46,0.29,3.0308380126953125
47,0.29,3.0297696590423584
48,0.29,3.0291547775268555
49,0.29,3.027804136276245
50,0.29,3.0270023345947266
51,0.29,3.025818109512329
52,0.29,3.0252134799957275
53,0.29,3.024385452270508
54,0.29,3.0229172706604004
55,0.29,3.0215060710906982
56,0.29,3.0196733474731445
57,0.29,3.0184664726257324
58,0.285,3.0176336765289307
59,0.285,3.015636444091797
60,0.285,3.0135605335235596
61,0.285,3.012761354446411
62,0.285,3.0109126567840576
63,0.285,3.009277105331421
64,0.285,3.008690595626831
65,0.285,3.007758617401123
66,0.285,3.0068471431732178
67,0.285,3.00443959236145
68,0.285,3.0022330284118652
69,0.285,3.001181125640869
70,0.285,2.9991912841796875
71,0.285,2.9974207878112793
72,0.285,2.9960806369781494
73,0.285,2.995131015777588
74,0.285,2.9927873611450195
75,0.285,2.9914140701293945
76,0.285,2.990450620651245
77,0.285,2.9885056018829346
78,0.285,2.9871580600738525
79,0.285,2.9856507778167725
80,0.285,2.984032154083252
81,0.285,2.981959104537964
82,0.285,2.9796359539031982
83,0.285,2.9780969619750977
84,0.285,2.9760708808898926
85,0.285,2.9732725620269775
86,0.285,2.972752332687378
87,0.285,2.971217155456543
88,0.29,2.9682798385620117
89,0.29,2.966834783554077
90,0.29,2.9652721881866455
91,0.29,2.962815046310425
92,0.29,2.960606336593628
93,0.29,2.959198474884033
94,0.29,2.9578781127929688
95,0.29,2.9559779167175293
96,0.29,2.9547178745269775
97,0.29,2.9522409439086914
98,0.29,2.950188636779785
99,0.29,2.946613073348999
100,0.29,2.9442148208618164
101,0.29,2.9434866905212402
102,0.29,2.9418041706085205
103,0.29,2.939847230911255
104,0.29,2.937390089035034
105,0.29,2.9362576007843018
106,0.29,2.9351420402526855
107,0.29,2.934800863265991
108,0.29,2.9327516555786133
109,0.29,2.930795431137085
110,0.29,2.9287853240966797
111,0.29,2.9266393184661865
112,0.29,2.9250550270080566
113,0.29,2.924081802368164
114,0.29,2.9220871925354004
115,0.29,2.9194517135620117
116,0.29,2.9174811840057373
117,0.29,2.915024995803833
118,0.29,2.9130566120147705
119,0.29,2.9121851921081543
120,0.29,2.9101860523223877
121,0.29,2.908764362335205
122,0.29,2.9067177772521973
123,0.29,2.906435012817383
124,0.29,2.9045114517211914
125,0.29,2.903123617172241
126,0.29,2.90091609954834
127,0.29,2.8990988731384277
128,0.29,2.896127700805664
129,0.29,2.893890857696533
130,0.29,2.8929362297058105
131,0.29,2.890408754348755
132,0.29,2.889051914215088
133,0.29,2.887190341949463
134,0.29,2.88480281829834
135,0.29,2.883678436279297
136,0.29,2.8818461894989014
137,0.29,2.879272222518921
138,0.29,2.8761487007141113
139,0.29,2.8753862380981445
140,0.295,2.871945858001709
141,0.295,2.8702359199523926
142,0.295,2.8678176403045654
143,0.295,2.8655450344085693
144,0.295,2.863645076751709
145,0.29,2.8616230487823486
146,0.295,2.860002279281616
147,0.295,2.859591007232666
148,0.295,2.8591480255126953
149,0.295,2.857945442199707
150,0.295,2.8559749126434326
151,0.295,2.854602813720703
152,0.295,2.852080821990967
153,0.295,2.8510892391204834
154,0.295,2.8494927883148193
155,0.295,2.8471264839172363
156,0.295,2.8448264598846436
157,0.295,2.8426225185394287
158,0.295,2.840881824493408
159,0.295,2.8399858474731445
160,0.295,2.8390862941741943
161,0.295,2.838172435760498
162,0.295,2.835988998413086
163,0.295,2.833056688308716
164,0.295,2.8314857482910156
165,0.295,2.828422784805298
166,0.295,2.8271706104278564
167,0.295,2.8243868350982666
168,0.295,2.8223376274108887
169,0.295,2.8202874660491943
170,0.295,2.8185970783233643
171,0.295,2.8163604736328125
172,0.295,2.815218687057495
173,0.295,2.813969135284424
174,0.295,2.812861442565918
175,0.295,2.8107972145080566
176,0.295,2.8092360496520996
177,0.295,2.8084397315979004
178,0.295,2.805450439453125
179,0.295,2.8035545349121094
180,0.295,2.800715446472168
181,0.295,2.798149585723877
182,0.295,2.794448137283325
183,0.295,2.791107654571533
184,0.295,2.789599895477295
185,0.295,2.787407875061035
186,0.295,2.78659987449646
187,0.295,2.784052848815918
188,0.295,2.781581401824951
189,0.295,2.7797720432281494
190,0.295,2.777573347091675
191,0.295,2.7760791778564453
192,0.295,2.7726635932922363
193,0.295,2.7713592052459717
194,0.295,2.7690956592559814
195,0.295,2.7661383152008057
196,0.295,2.7630481719970703
197,0.295,2.7606618404388428
198,0.295,2.7589223384857178
199,0.295,2.7580320835113525
200,0.295,2.7559280395507812
201,0.295,2.751701593399048
202,0.295,2.749391794204712
203,0.295,2.7468483448028564
204,0.295,2.743849992752075
205,0.295,2.7403407096862793
206,0.295,2.738309621810913
207,0.295,2.735595941543579
208,0.295,2.733001708984375
209,0.295,2.730832815170288
210,0.295,2.7280869483947754
211,0.295,2.7247841358184814
212,0.295,2.723848581314087
213,0.295,2.7216269969940186
214,0.295,2.719919443130493
215,0.295,2.7179315090179443
216,0.295,2.7153990268707275
217,0.295,2.7128145694732666
218,0.295,2.710439682006836
219,0.295,2.708650588989258
220,0.295,2.7064850330352783
221,0.3,2.70459246635437
222,0.3,2.7021753787994385
223,0.3,2.7003774642944336
224,0.3,2.6975502967834473
225,0.3,2.696141242980957
226,0.3,2.6935555934906006
227,0.295,2.6906843185424805
228,0.295,2.688173770904541
229,0.295,2.685739755630493
230,0.295,2.6845836639404297
231,0.295,2.6822383403778076
232,0.295,2.6801540851593018
233,0.295,2.6778337955474854
234,0.295,2.6751115322113037
235,0.295,2.673474073410034
236,0.295,2.671046257019043
237,0.295,2.6694552898406982
238,0.295,2.6675071716308594
239,0.295,2.6657519340515137
240,0.295,2.6632795333862305
241,0.295,2.6604573726654053
242,0.295,2.6581931114196777
243,0.295,2.6546859741210938
244,0.295,2.6510009765625
245,0.295,2.6489779949188232
246,0.295,2.6460564136505127
247,0.295,2.6460728645324707
248,0.295,2.6432063579559326
249,0.295,2.6394190788269043
250,0.295,2.6356968879699707
251,0.295,2.6333532333374023
252,0.295,2.631028175354004
253,0.295,2.6285598278045654
254,0.295,2.6259734630584717
255,0.295,2.623711347579956
256,0.3,2.6196236610412598
257,0.3,2.616873025894165
258,0.3,2.614441394805908
259,0.3,2.612868547439575
260,0.3,2.6108481884002686
261,0.3,2.6083152294158936
262,0.3,2.606516122817993
263,0.3,2.603337287902832
264,0.3,2.6023895740509033
265,0.3,2.5993316173553467
266,0.3,2.596773386001587
267,0.3,2.5943756103515625
268,0.3,2.5913658142089844
269,0.3,2.5885071754455566
270,0.3,2.5854578018188477
271,0.3,2.5824780464172363
272,0.3,2.5804684162139893
273,0.3,2.5776290893554688
274,0.3,2.5753955841064453
275,0.3,2.573622941970825
276,0.3,2.5709285736083984
277,0.3,2.569260597229004
278,0.3,2.5674591064453125
279,0.3,2.566373109817505
280,0.3,2.5638318061828613
281,0.3,2.5628859996795654
282,0.3,2.5593421459198
283,0.3,2.5570669174194336
284,0.3,2.5529606342315674
285,0.3,2.5507051944732666
286,0.3,2.546912670135498
287,0.3,2.5447747707366943
288,0.3,2.5433175563812256
289,0.305,2.5401523113250732
290,0.31,2.5369949340820312
291,0.31,2.5323376655578613
292,0.31,2.5295305252075195
293,0.31,2.526358127593994
294,0.31,2.5225911140441895
295,0.31,2.5192313194274902
296,0.31,2.516535997390747
