iter,test acc,w diff
0,0.18,3.66343355178833
1,0.18,3.661116600036621
2,0.18,3.659679889678955
3,0.18,3.6582705974578857
4,0.185,3.656822443008423
5,0.185,3.6543991565704346
6,0.185,3.6519861221313477
7,0.19,3.649571418762207
8,0.19,3.6481058597564697
9,0.19,3.6463141441345215
10,0.19,3.643872022628784
11,0.19,3.641430616378784
12,0.19,3.638970136642456
13,0.19,3.6365737915039062
14,0.19,3.634150505065918
15,0.19,3.631664276123047
16,0.195,3.6291961669921875
17,0.195,3.6267483234405518
18,0.195,3.625286102294922
19,0.195,3.622840166091919
20,0.195,3.620351552963257
21,0.195,3.618650436401367
22,0.195,3.617090940475464
23,0.195,3.614583969116211
24,0.2,3.61206316947937
25,0.2,3.6105716228485107
26,0.2,3.608844041824341
27,0.2,3.607104539871216
28,0.2,3.6054139137268066
29,0.2,3.6028754711151123
30,0.2,3.600377082824707
31,0.205,3.597820520401001
32,0.205,3.5961320400238037
33,0.205,3.5936381816864014
34,0.205,3.5911142826080322
35,0.205,3.5895142555236816
36,0.205,3.586925506591797
37,0.205,3.584321975708008
38,0.205,3.582505702972412
39,0.205,3.5799646377563477
40,0.205,3.578238010406494
41,0.205,3.576500654220581
42,0.205,3.573880910873413
43,0.205,3.571274995803833
44,0.205,3.5694761276245117
45,0.2,3.566851854324341
46,0.2,3.5642056465148926
47,0.21,3.5615553855895996
48,0.21,3.5589237213134766
49,0.21,3.5562617778778076
50,0.21,3.554550886154175
51,0.21,3.5519230365753174
52,0.205,3.5499589443206787
53,0.205,3.548100709915161
54,0.205,3.5462143421173096
55,0.205,3.543551445007324
56,0.205,3.5415923595428467
57,0.205,3.539543390274048
58,0.205,3.5376768112182617
59,0.205,3.53582763671875
60,0.205,3.5331194400787354
61,0.205,3.531262159347534
62,0.205,3.5294079780578613
63,0.205,3.5275096893310547
64,0.21,3.524831771850586
65,0.21,3.5230424404144287
66,0.21,3.5203325748443604
67,0.215,3.5176615715026855
68,0.21,3.515583038330078
69,0.215,3.5137441158294678
70,0.215,3.510974168777466
71,0.215,3.509112596511841
72,0.22,3.5063657760620117
73,0.225,3.5036559104919434
74,0.225,3.5008792877197266
75,0.225,3.4981329441070557
76,0.225,3.4953856468200684
77,0.225,3.4927053451538086
78,0.225,3.4899590015411377
79,0.225,3.488037347793579
80,0.225,3.4860098361968994
81,0.225,3.483327865600586
82,0.225,3.481590986251831
83,0.225,3.478837251663208
84,0.225,3.4768970012664795
85,0.225,3.4746806621551514
86,0.225,3.4728517532348633
87,0.225,3.4700682163238525
88,0.225,3.4672579765319824
89,0.225,3.464501142501831
90,0.225,3.462739944458008
91,0.23,3.4599289894104004
92,0.23,3.4570980072021484
93,0.23,3.45528244972229
94,0.23,3.453198194503784
95,0.23,3.4503769874572754
96,0.23,3.4475693702697754
97,0.23,3.445502281188965
98,0.23,3.4436535835266113
99,0.23,3.4416141510009766
100,0.23,3.43881893157959
101,0.23,3.436999797821045
102,0.23,3.434889554977417
103,0.23,3.4321205615997314
104,0.235,3.4300484657287598
105,0.235,3.4282407760620117
106,0.235,3.426161050796509
107,0.235,3.4240996837615967
108,0.24,3.4219765663146973
109,0.24,3.419834852218628
110,0.24,3.4169399738311768
111,0.24,3.414062261581421
112,0.24,3.4112019538879395
113,0.24,3.409085512161255
114,0.24,3.4061734676361084
115,0.24,3.4043591022491455
116,0.24,3.4025511741638184
117,0.24,3.399700164794922
118,0.24,3.3978703022003174
119,0.25,3.3950459957122803
120,0.25,3.393054962158203
121,0.25,3.3909833431243896
122,0.25,3.3880677223205566
123,0.25,3.3857765197753906
124,0.25,3.3829312324523926
125,0.25,3.3800761699676514
126,0.255,3.3772358894348145
127,0.265,3.3743646144866943
128,0.265,3.371464490890503
129,0.27,3.3685402870178223
130,0.27,3.365638017654419
131,0.27,3.363539695739746
132,0.27,3.360593318939209
133,0.275,3.3576622009277344
134,0.275,3.355466365814209
135,0.275,3.352552652359009
136,0.275,3.3504557609558105
137,0.275,3.3475120067596436
138,0.275,3.345363140106201
139,0.28,3.34315824508667
140,0.28,3.3402411937713623
141,0.28,3.3383285999298096
142,0.28,3.3354575634002686
143,0.285,3.332526445388794
144,0.285,3.3303375244140625
145,0.285,3.3284268379211426
146,0.285,3.3254950046539307
147,0.285,3.3236243724823
148,0.285,3.320650339126587
149,0.29,3.31772780418396
150,0.29,3.3153958320617676
151,0.29,3.3133318424224854
152,0.29,3.31124210357666
153,0.29,3.308352470397949
154,0.295,3.305370807647705
155,0.295,3.3023977279663086
156,0.3,3.3000752925872803
157,0.3,3.2971372604370117
158,0.3,3.2951040267944336
159,0.3,3.2928106784820557
160,0.3,3.2898340225219727
161,0.3,3.287811279296875
162,0.3,3.2855217456817627
163,0.305,3.2831602096557617
164,0.305,3.2802231311798096
