iter,test acc,w diff
0,0.33,2.7978265285491943
1,0.33,2.7947633266448975
2,0.33,2.792819023132324
3,0.33,2.7888529300689697
4,0.33,2.787778377532959
5,0.33,2.786160469055176
6,0.33,2.784600257873535
7,0.33,2.7824530601501465
8,0.33,2.7797691822052
9,0.33,2.7788217067718506
10,0.33,2.776170253753662
11,0.33,2.7739059925079346
12,0.33,2.7715747356414795
13,0.33,2.7690787315368652
14,0.33,2.7663025856018066
15,0.33,2.7643136978149414
16,0.33,2.7619612216949463
17,0.33,2.7590482234954834
18,0.33,2.757338047027588
19,0.33,2.7550227642059326
20,0.33,2.7522170543670654
21,0.33,2.7496609687805176
22,0.33,2.7470197677612305
23,0.33,2.7450897693634033
24,0.33,2.7436532974243164
25,0.33,2.7420578002929688
26,0.33,2.739795684814453
27,0.335,2.73710036277771
28,0.335,2.734135389328003
29,0.335,2.731760263442993
30,0.335,2.729407548904419
31,0.335,2.7274675369262695
32,0.335,2.7239902019500732
33,0.335,2.721566915512085
34,0.335,2.7190442085266113
35,0.335,2.716104030609131
36,0.335,2.712590456008911
37,0.335,2.7096097469329834
38,0.335,2.7059080600738525
39,0.335,2.7031521797180176
40,0.335,2.7026259899139404
41,0.34,2.700592517852783
42,0.34,2.69728684425354
43,0.34,2.694598913192749
44,0.34,2.691948890686035
45,0.34,2.6889705657958984
46,0.34,2.6852760314941406
47,0.34,2.6830804347991943
48,0.34,2.6798152923583984
49,0.345,2.675896167755127
50,0.345,2.6741180419921875
51,0.345,2.6720786094665527
52,0.345,2.6696999073028564
53,0.345,2.6671640872955322
54,0.345,2.6640212535858154
55,0.345,2.6623551845550537
56,0.345,2.661153554916382
57,0.345,2.6591532230377197
58,0.345,2.656468629837036
59,0.345,2.6538009643554688
60,0.345,2.6496195793151855
61,0.345,2.64664363861084
62,0.345,2.644357681274414
63,0.345,2.641380548477173
64,0.345,2.6377065181732178
65,0.34,2.634897232055664
66,0.34,2.6327450275421143
67,0.34,2.6301863193511963
68,0.34,2.6272969245910645
69,0.34,2.6246707439422607
70,0.34,2.6209378242492676
71,0.34,2.616832971572876
72,0.34,2.6129631996154785
73,0.34,2.6110312938690186
74,0.34,2.607640504837036
75,0.34,2.605253219604492
76,0.34,2.6028947830200195
77,0.34,2.598815679550171
78,0.34,2.597198963165283
79,0.34,2.594031572341919
80,0.34,2.5919272899627686
81,0.34,2.5902862548828125
82,0.34,2.587970733642578
83,0.34,2.5849227905273438
84,0.345,2.5825726985931396
85,0.345,2.580402374267578
86,0.345,2.5775368213653564
87,0.345,2.5754940509796143
88,0.345,2.5722689628601074
89,0.345,2.57000732421875
90,0.345,2.5673115253448486
91,0.345,2.564638614654541
92,0.345,2.561950445175171
93,0.345,2.559293746948242
94,0.345,2.556166648864746
95,0.345,2.553583860397339
96,0.345,2.5515151023864746
97,0.345,2.5458457469940186
98,0.345,2.5419981479644775
99,0.345,2.538710117340088
100,0.345,2.5373997688293457
101,0.345,2.5344386100769043
102,0.345,2.530604600906372
103,0.345,2.5276358127593994
104,0.345,2.5246570110321045
105,0.345,2.522062301635742
106,0.345,2.518925905227661
107,0.345,2.5150704383850098
108,0.345,2.5107836723327637
109,0.345,2.5068531036376953
110,0.345,2.502544403076172
111,0.345,2.4976625442504883
112,0.345,2.4951367378234863
113,0.345,2.4924368858337402
114,0.345,2.4894096851348877
115,0.35,2.4861643314361572
116,0.35,2.483189105987549
117,0.35,2.4803664684295654
118,0.35,2.4770781993865967
119,0.35,2.4739575386047363
120,0.35,2.4700257778167725
121,0.35,2.469216823577881
122,0.355,2.4654433727264404
123,0.355,2.463369846343994
124,0.355,2.460306167602539
125,0.355,2.4566705226898193
126,0.355,2.4544670581817627
127,0.355,2.450953483581543
128,0.355,2.4481048583984375
