iter,test acc,w diff
0,0.315,2.92188954353333
1,0.315,2.9201762676239
2,0.315,2.9184558391571
3,0.315,2.91672706604004
4,0.315,2.91499042510986
5,0.315,2.91324639320374
6,0.315,2.91149473190308
7,0.315,2.90973520278931
8,0.315,2.90796756744385
9,0.315,2.90619230270386
10,0.315,2.90440917015076
11,0.315,2.90261816978455
12,0.32,2.90081882476807
13,0.32,2.89901208877563
14,0.32,2.89719653129578
15,0.32,2.89537310600281
16,0.32,2.89354133605957
17,0.32,2.89170074462891
18,0.32,2.88985300064087
19,0.32,2.88799548149109
20,0.32,2.88613080978394
21,0.32,2.8842568397522
22,0.32,2.88237524032593
23,0.32,2.88048434257507
24,0.32,2.87858581542969
25,0.32,2.87667751312256
26,0.32,2.87476110458374
27,0.32,2.87283611297607
28,0.32,2.87090229988098
29,0.32,2.8689591884613
30,0.325,2.86700773239136
31,0.325,2.86504697799683
32,0.325,2.86307787895203
33,0.325,2.8610987663269
34,0.325,2.85911011695862
35,0.325,2.85711359977722
36,0.325,2.85510754585266
37,0.325,2.85309243202209
38,0.325,2.85106778144836
39,0.325,2.84903311729431
40,0.325,2.84699010848999
41,0.325,2.84493708610535
42,0.325,2.84287452697754
43,0.325,2.84080266952515
44,0.325,2.83872103691101
45,0.325,2.83662939071655
46,0.325,2.83452844619751
47,0.325,2.83241748809814
48,0.325,2.83029723167419
49,0.325,2.82816696166992
50,0.325,2.82602620124817
51,0.33,2.82387518882751
52,0.33,2.82171487808228
53,0.33,2.81954431533813
54,0.33,2.81736326217651
55,0.33,2.81517219543457
56,0.33,2.81297039985657
57,0.33,2.81075882911682
58,0.33,2.80853676795959
59,0.33,2.80630421638489
60,0.33,2.80406069755554
61,0.33,2.80180668830872
62,0.33,2.79954242706299
63,0.33,2.79726672172546
64,0.33,2.79498076438904
65,0.33,2.79268336296082
66,0.33,2.79037642478943
67,0.33,2.78805732727051
68,0.33,2.78572702407837
69,0.33,2.78338599205017
70,0.33,2.78103470802307
71,0.33,2.7786705493927
72,0.33,2.77629566192627
73,0.33,2.77390956878662
74,0.33,2.77151274681091
75,0.33,2.76910400390625
76,0.33,2.76668238639832
77,0.33,2.76425075531006
78,0.33,2.76180720329285
79,0.33,2.7593514919281
80,0.33,2.75688433647156
