iter,test acc,w diff
0,0.165,3.79825854301453
1,0.165,3.7990517616272
2,0.165,3.79904246330261
3,0.165,3.7947108745575
4,0.165,3.79202723503113
5,0.17,3.78999543190002
6,0.17,3.79025864601135
7,0.17,3.78989291191101
8,0.17,3.78929400444031
9,0.17,3.78853154182434
10,0.17,3.79028820991516
11,0.17,3.78646039962769
12,0.175,3.78253030776978
13,0.175,3.7802836894989
14,0.175,3.78055262565613
15,0.17,3.77628898620605
16,0.17,3.77682781219482
17,0.17,3.77816605567932
18,0.17,3.7761504650116
19,0.175,3.77548837661743
20,0.175,3.77217388153076
21,0.175,3.76998066902161
22,0.175,3.76646995544434
23,0.175,3.76513743400574
24,0.175,3.76716661453247
25,0.175,3.76330971717834
26,0.175,3.76379632949829
27,0.175,3.76261687278748
28,0.175,3.76090455055237
29,0.175,3.76019811630249
30,0.175,3.75849318504333
31,0.175,3.75657343864441
32,0.175,3.75897860527039
33,0.175,3.76010060310364
34,0.175,3.75936365127563
35,0.175,3.75660538673401
36,0.175,3.75784492492676
37,0.175,3.75362038612366
38,0.175,3.75381398200989
39,0.175,3.74930858612061
40,0.18,3.74639534950256
41,0.18,3.74191331863403
42,0.18,3.7408287525177
43,0.18,3.74393820762634
44,0.18,3.74366283416748
45,0.18,3.74375200271606
46,0.18,3.74375891685486
47,0.18,3.74480700492859
48,0.18,3.74100708961487
49,0.18,3.74053168296814
50,0.18,3.7382071018219
51,0.18,3.73727941513062
52,0.175,3.73200869560242
53,0.175,3.73218512535095
54,0.175,3.73197507858276
55,0.18,3.72774362564087
56,0.18,3.72333312034607
57,0.18,3.71850824356079
58,0.18,3.7208981513977
59,0.18,3.71791934967041
60,0.18,3.71826362609863
61,0.18,3.71650552749634
62,0.18,3.71296668052673
63,0.19,3.70899152755737
64,0.19,3.71063590049744
65,0.18,3.71418046951294
66,0.18,3.71320557594299
67,0.19,3.71098184585571
68,0.19,3.71072149276733
69,0.185,3.71246695518494
70,0.19,3.70913934707642
71,0.19,3.70840191841125
72,0.19,3.7029812335968
73,0.19,3.70202469825745
74,0.19,3.70054364204407
75,0.19,3.70259261131287
76,0.19,3.70054602622986
77,0.19,3.70030331611633
78,0.185,3.69659352302551
79,0.18,3.69116115570068
80,0.18,3.68878436088562
81,0.18,3.68380069732666
82,0.185,3.68205690383911
83,0.185,3.68001222610474
84,0.185,3.68169927597046
85,0.185,3.67939615249634
86,0.185,3.67948126792908
87,0.185,3.67715740203857
88,0.19,3.67401957511902
89,0.19,3.66954827308655
90,0.19,3.66638660430908
91,0.19,3.66798043251038
92,0.19,3.66316342353821
93,0.19,3.66075992584229
94,0.19,3.65892767906189
95,0.195,3.65413022041321
96,0.195,3.65126919746399
97,0.195,3.65240716934204
98,0.195,3.65214848518372
99,0.195,3.65001273155212
100,0.195,3.64512538909912
101,0.195,3.64419841766357
102,0.195,3.64810800552368
103,0.195,3.65089058876038
104,0.195,3.65091323852539
105,0.195,3.64910268783569
106,0.195,3.65273761749268
107,0.195,3.65117025375366
108,0.195,3.64855337142944
109,0.195,3.64341187477112
110,0.2,3.63913536071777
111,0.2,3.63536810874939
112,0.2,3.6379566192627
113,0.2,3.63727259635925
114,0.2,3.63584995269775
115,0.2,3.63527584075928
116,0.2,3.62971305847168
117,0.2,3.63017964363098
118,0.2,3.62818336486816
119,0.205,3.62450933456421
120,0.205,3.61820101737976
121,0.205,3.61876702308655
122,0.205,3.62037134170532
123,0.205,3.61806130409241
124,0.205,3.61163806915283
125,0.205,3.60792875289917
126,0.205,3.60421872138977
127,0.205,3.59950256347656
128,0.2,3.59423065185547
129,0.2,3.59412908554077
130,0.21,3.59010338783264
131,0.21,3.58451342582703
132,0.21,3.58636522293091
133,0.21,3.58439135551453
134,0.21,3.58406376838684
135,0.21,3.58582615852356
136,0.21,3.58623242378235
137,0.21,3.58510518074036
138,0.21,3.58519053459167
139,0.21,3.58229875564575
140,0.21,3.58154368400574
141,0.21,3.58376359939575
142,0.21,3.58589386940002
143,0.21,3.58403897285461
144,0.205,3.57876181602478
145,0.205,3.57888436317444
146,0.21,3.58161950111389
147,0.21,3.57955598831177
148,0.21,3.57986044883728
149,0.205,3.57811641693115
150,0.205,3.57593655586243
151,0.205,3.57198405265808
152,0.205,3.5715537071228
153,0.205,3.57250499725342
154,0.205,3.56986427307129
155,0.205,3.57012343406677
156,0.205,3.56962251663208
157,0.205,3.56428217887878
158,0.205,3.56886124610901
159,0.205,3.56247901916504
160,0.205,3.55814290046692
161,0.21,3.55727100372314
162,0.21,3.55728340148926
163,0.21,3.5562539100647
164,0.21,3.55283093452454
165,0.21,3.55571103096008
166,0.21,3.55210828781128
167,0.21,3.55022263526916
168,0.21,3.54981255531311
169,0.21,3.54675221443176
170,0.21,3.54505109786987
171,0.21,3.54769349098206
172,0.21,3.551433801651
173,0.21,3.55081915855408
174,0.21,3.54660630226135
175,0.21,3.54537963867187
176,0.215,3.53997945785522
177,0.225,3.53485894203186
178,0.225,3.53337407112122
179,0.225,3.53108024597168
180,0.225,3.53055429458618
181,0.225,3.52522397041321
182,0.225,3.5256621837616
183,0.225,3.52300715446472
184,0.225,3.51647520065308
185,0.225,3.51342988014221
186,0.225,3.51441860198975
187,0.225,3.51228737831116
188,0.225,3.51309204101562
189,0.225,3.5112886428833
190,0.225,3.51188468933105
191,0.225,3.50982093811035
192,0.225,3.5046489238739
193,0.225,3.49897313117981
194,0.225,3.49313640594482
195,0.225,3.49291086196899
196,0.225,3.49255228042603
197,0.23,3.49002313613892
198,0.23,3.49003553390503
199,0.23,3.48233890533447
200,0.23,3.47893381118774
201,0.23,3.47595500946045
202,0.23,3.48029065132141
203,0.23,3.47955203056335
204,0.23,3.48168754577637
205,0.23,3.47914505004883
206,0.23,3.47894930839539
207,0.23,3.47593808174133
208,0.23,3.47008681297302
209,0.23,3.46736812591553
210,0.23,3.46538639068604
211,0.235,3.46154522895813
212,0.235,3.45745015144348
213,0.24,3.4546320438385
214,0.235,3.45599484443665
215,0.24,3.45036506652832
216,0.24,3.455482006073
217,0.24,3.45086002349854
218,0.24,3.45020079612732
219,0.24,3.45038223266602
220,0.24,3.44978260993958
221,0.24,3.45492935180664
222,0.24,3.44766235351562
223,0.24,3.4430456161499
224,0.24,3.43915104866028
225,0.24,3.43636775016785
226,0.25,3.42894768714905
227,0.25,3.42570972442627
228,0.25,3.42864561080933
229,0.245,3.43020248413086
230,0.24,3.43136429786682
231,0.245,3.43027353286743
232,0.25,3.42359495162964
233,0.25,3.41871619224548
234,0.25,3.41422486305237
235,0.255,3.41003966331482
236,0.255,3.41171407699585
237,0.265,3.40490889549255
238,0.27,3.4015691280365
239,0.27,3.40304064750671
240,0.27,3.39566731452942
241,0.275,3.38853693008423
242,0.275,3.38432455062866
243,0.275,3.38090109825134
244,0.28,3.37479496002197
245,0.285,3.3678297996521
246,0.285,3.3681206703186
247,0.285,3.36830759048462
248,0.28,3.36972856521606
249,0.285,3.36513423919678
250,0.285,3.36187672615051
251,0.285,3.36527991294861
252,0.285,3.36889171600342
253,0.285,3.36808609962463
254,0.285,3.36065196990967
255,0.285,3.36084508895874
256,0.285,3.35820388793945
257,0.29,3.35367321968079
258,0.29,3.34521913528442
259,0.29,3.34821557998657
260,0.29,3.34756827354431
261,0.29,3.34941840171814
262,0.29,3.35328817367554
263,0.29,3.34795093536377
264,0.29,3.34613966941833
265,0.29,3.34535908699036
266,0.295,3.34209847450256
267,0.295,3.3391432762146
268,0.3,3.33090281486511
269,0.3,3.32605767250061
270,0.3,3.32986950874329
271,0.3,3.32576847076416
272,0.3,3.32203722000122
273,0.305,3.3186252117157
274,0.305,3.31145429611206
275,0.305,3.31322503089905
276,0.305,3.31216549873352
277,0.305,3.30529069900513
278,0.305,3.30915665626526
279,0.305,3.30258393287659
280,0.305,3.2993848323822
281,0.31,3.29683685302734
282,0.305,3.30066180229187
283,0.31,3.29702734947205
284,0.31,3.29025793075562
285,0.31,3.29063749313354
286,0.31,3.28687334060669
287,0.31,3.27832341194153
288,0.31,3.27540373802185
289,0.31,3.26856398582458
290,0.315,3.26108908653259
291,0.315,3.25827693939209
292,0.325,3.25371336936951
293,0.33,3.24651432037354
294,0.33,3.23904800415039
295,0.33,3.23666310310364
296,0.33,3.22815322875977
297,0.33,3.23394989967346
298,0.33,3.22926712036133
299,0.33,3.22518873214722
