iter,test acc,w diff
0,0.3,3.0245110988616943
1,0.3,3.0209341049194336
2,0.3,3.019535779953003
3,0.3,3.017505168914795
4,0.3,3.0166749954223633
5,0.3,3.013732671737671
6,0.31,3.0106589794158936
7,0.31,3.0076332092285156
8,0.31,3.004829168319702
9,0.31,3.0016279220581055
10,0.31,2.9978904724121094
11,0.31,2.9962940216064453
12,0.31,2.994037389755249
13,0.31,2.989262104034424
14,0.31,2.9876978397369385
15,0.31,2.9847676753997803
16,0.32,2.9792590141296387
17,0.32,2.977020263671875
18,0.32,2.9766619205474854
19,0.315,2.9714269638061523
20,0.315,2.9679133892059326
21,0.315,2.9659154415130615
22,0.315,2.9629902839660645
23,0.315,2.9597558975219727
24,0.315,2.9581520557403564
25,0.315,2.954024076461792
26,0.315,2.9523463249206543
27,0.315,2.9497361183166504
28,0.315,2.9467334747314453
29,0.315,2.9431676864624023
30,0.315,2.9399642944335938
31,0.315,2.936412811279297
32,0.315,2.9343860149383545
33,0.315,2.9329419136047363
34,0.315,2.931044816970825
35,0.315,2.9276835918426514
36,0.315,2.926272392272949
37,0.315,2.9214882850646973
38,0.315,2.916508913040161
39,0.315,2.911820650100708
40,0.32,2.9084081649780273
41,0.32,2.9059557914733887
42,0.32,2.902459144592285
43,0.32,2.896815776824951
44,0.32,2.893249988555908
45,0.32,2.890974998474121
46,0.32,2.8850343227386475
47,0.32,2.882812738418579
48,0.32,2.87982439994812
49,0.325,2.8768115043640137
50,0.325,2.8733320236206055
51,0.325,2.8724205493927
52,0.325,2.8709096908569336
53,0.325,2.8665859699249268
54,0.325,2.8638525009155273
55,0.325,2.859436511993408
56,0.325,2.856306552886963
57,0.325,2.8524162769317627
58,0.325,2.846236228942871
59,0.325,2.840644359588623
60,0.33,2.836121082305908
61,0.33,2.83225417137146
62,0.33,2.827547073364258
63,0.33,2.8236095905303955
64,0.33,2.8195137977600098
65,0.33,2.8177170753479004
66,0.33,2.8154678344726562
67,0.33,2.8118674755096436
68,0.33,2.8089427947998047
69,0.33,2.803152561187744
70,0.33,2.80094838142395
71,0.33,2.7966055870056152
72,0.33,2.7953107357025146
73,0.33,2.7903318405151367
74,0.33,2.7857697010040283
75,0.33,2.783134698867798
76,0.33,2.7786121368408203
77,0.33,2.7734944820404053
78,0.33,2.7696948051452637
79,0.33,2.7654738426208496
80,0.33,2.76114559173584
81,0.33,2.7566823959350586
82,0.33,2.752964735031128
83,0.335,2.74984073638916
84,0.335,2.7482798099517822
85,0.335,2.745065450668335
86,0.335,2.741478681564331
87,0.335,2.7395336627960205
88,0.335,2.7357406616210938
89,0.335,2.7307209968566895
90,0.335,2.7263119220733643
91,0.335,2.7233431339263916
92,0.335,2.720427989959717
93,0.335,2.714205741882324
94,0.34,2.7080318927764893
95,0.34,2.7042267322540283
96,0.34,2.6995301246643066
97,0.34,2.6959261894226074
98,0.34,2.692811965942383
99,0.345,2.688819169998169
100,0.345,2.683863878250122
101,0.345,2.6798434257507324
102,0.345,2.6751961708068848
103,0.345,2.6711983680725098
104,0.345,2.666199207305908
105,0.345,2.6619012355804443
106,0.345,2.6584742069244385
107,0.345,2.652975559234619
108,0.345,2.649204730987549
109,0.34,2.6446142196655273
110,0.34,2.6438796520233154
111,0.34,2.6393284797668457
112,0.34,2.6356019973754883
113,0.34,2.6305642127990723
114,0.34,2.625398874282837
115,0.34,2.6197526454925537
116,0.34,2.6156647205352783
117,0.34,2.6116256713867188
118,0.34,2.6057450771331787
119,0.34,2.602285146713257
120,0.34,2.5990381240844727
121,0.345,2.595573902130127
122,0.345,2.58903169631958
123,0.345,2.5861241817474365
124,0.345,2.5795738697052
125,0.345,2.5740513801574707
126,0.345,2.5696301460266113
127,0.345,2.565249443054199
128,0.345,2.5633974075317383
129,0.345,2.5575740337371826
130,0.345,2.5544557571411133
131,0.345,2.5507357120513916
132,0.345,2.546942710876465
133,0.345,2.540538787841797
134,0.345,2.5385212898254395
135,0.345,2.533682107925415
136,0.345,2.5292720794677734
137,0.345,2.5248239040374756
138,0.345,2.5197019577026367
139,0.345,2.5145809650421143
140,0.345,2.5098509788513184
141,0.345,2.5047948360443115
142,0.35,2.4980669021606445
143,0.35,2.492464303970337
144,0.35,2.4877853393554688
145,0.35,2.485431432723999
146,0.35,2.481174945831299
147,0.355,2.4764208793640137
148,0.355,2.47225284576416
149,0.355,2.468532085418701
150,0.355,2.4624714851379395
151,0.355,2.459104299545288
152,0.355,2.4544966220855713
153,0.36,2.448956251144409
154,0.37,2.4464383125305176
155,0.37,2.4405834674835205
156,0.37,2.4351799488067627
157,0.37,2.430358409881592
158,0.37,2.425144910812378
159,0.37,2.419891595840454
160,0.375,2.4129793643951416
161,0.38,2.4076828956604004
162,0.38,2.4035568237304688
163,0.38,2.398927927017212
164,0.38,2.3941729068756104
165,0.38,2.3893017768859863
166,0.38,2.3841392993927
167,0.38,2.3785834312438965
168,0.38,2.3755478858947754
169,0.38,2.3709871768951416
170,0.38,2.364931106567383
171,0.38,2.3602190017700195
172,0.38,2.3562402725219727
173,0.38,2.3538033962249756
174,0.38,2.3484694957733154
175,0.38,2.342991352081299
176,0.38,2.3388874530792236
177,0.38,2.3340656757354736
178,0.38,2.3296866416931152
179,0.38,2.323817491531372
180,0.38,2.319199562072754
181,0.38,2.3140275478363037
182,0.385,2.3083906173706055
183,0.39,2.3024239540100098
184,0.39,2.2957119941711426
185,0.39,2.289459705352783
186,0.39,2.285860538482666
187,0.39,2.2810511589050293
188,0.395,2.2723193168640137
189,0.4,2.267012596130371
190,0.4,2.2618484497070312
191,0.405,2.2553658485412598
192,0.405,2.248885154724121
193,0.405,2.2439815998077393
194,0.405,2.2409825325012207
195,0.405,2.2377030849456787
196,0.405,2.229726552963257
197,0.41,2.223738431930542
198,0.41,2.2151970863342285
199,0.41,2.2094569206237793
200,0.41,2.2023603916168213
201,0.41,2.1953325271606445
202,0.41,2.187325954437256
203,0.41,2.1819941997528076
204,0.41,2.178781270980835
205,0.41,2.171923875808716
206,0.41,2.1640021800994873
207,0.41,2.157640218734741
208,0.41,2.1539504528045654
209,0.41,2.1475515365600586
210,0.41,2.1399037837982178
211,0.41,2.1324005126953125
212,0.41,2.1272330284118652
213,0.41,2.120039939880371
214,0.41,2.114161729812622
215,0.41,2.1070985794067383
216,0.41,2.1013760566711426
217,0.41,2.0938615798950195
218,0.41,2.0889854431152344
219,0.41,2.082472801208496
220,0.41,2.076744794845581
221,0.405,2.071380138397217
222,0.405,2.064613103866577
223,0.405,2.0604050159454346
224,0.405,2.055135726928711
225,0.405,2.051924705505371
226,0.405,2.046076536178589
227,0.41,2.039929151535034
228,0.41,2.036428928375244
229,0.41,2.032216787338257
