blackbox implicit final results 

Data: cifar100, Model: CNN3, Experiment: SGD, Mean: 0.62156, Std: 0.0026234328655408683

Data: cifar100, Model: CNN6, Experiment: SGD, Mean: 0.6495, Std: 0.004841900453334421

Data: cifar100, Model: CNN9, Experiment: SGD, Mean: 0.67458, Std: 0.0019177069640588784

Data: cifar100, Model: CNN15, Experiment: SGD, Mean: 0.6852199999999999, Std: 0.0021939917957914177

Data: cifar100, Model: CNN3, Experiment: Student, Mean: 0.62732, Std: 0.0018280043763623894

Data: cifar100, Model: CNN6, Experiment: Student, Mean: 0.6661000000000001, Std: 0.0009507891459203681

Data: cifar100, Model: CNN9, Experiment: Student, Mean: 0.6906199999999999, Std: 0.0016702095676890429

Data: cifar100, Model: CNN15, Experiment: Student, Mean: 0.69192, Std: 0.003995197116538804

Data: cifar100, Model: CNN3, Experiment: Baseline, Mean: 0.62006, Std: 0.0043857040483826675

Data: cifar100, Model: CNN6, Experiment: Baseline, Mean: 0.65344, Std: 0.003091019249373909

Data: cifar100, Model: CNN9, Experiment: Baseline, Mean: 0.6740600000000001, Std: 0.0011359577456930353

Data: cifar100, Model: CNN15, Experiment: Baseline, Mean: 0.68444, Std: 0.004107359248957896

======================== Above is version: dcf6cd67e1c41f42b2d85b621f58c8138a4e8ec9 ====================blackbox implicit final results 

Data: cifar100, Model: CNN3, Experiment: SGD, Mean: 0.33133999999999997, Std: 0.0032116039606402084

Data: cifar100, Model: CNN6, Experiment: SGD, Mean: 0.33082, Std: 0.002531718783751462

Data: cifar100, Model: CNN9, Experiment: SGD, Mean: 0.29782, Std: 0.0032504768880888936

Data: cifar100, Model: CNN15, Experiment: SGD, Mean: 0.26838, Std: 0.0036378015338937885

Data: cifar100, Model: CNN3, Experiment: Student, Mean: 0.4008, Std: 0.001859032006179549

Data: cifar100, Model: CNN6, Experiment: Student, Mean: 0.36662000000000006, Std: 0.004820539388906596

Data: cifar100, Model: CNN9, Experiment: Student, Mean: 0.34253999999999996, Std: 0.005047217054971971

Data: cifar100, Model: CNN15, Experiment: Student, Mean: 0.34596, Std: 0.004312122447241028

Data: cifar100, Model: CNN3, Experiment: Baseline, Mean: 0.33114000000000005, Std: 0.0031626571107219222

Data: cifar100, Model: CNN6, Experiment: Baseline, Mean: 0.33054, Std: 0.0021959963570097408

Data: cifar100, Model: CNN9, Experiment: Baseline, Mean: 0.29676, Std: 0.0038712271956060735

Data: cifar100, Model: CNN15, Experiment: Baseline, Mean: 0.27004, Std: 0.002859790202095241

======================== Above is version: 7db63f417d72d7b36c2e72e2a8c1b29891586d8b ====================

blackbox implicit final results 

Data: cifar100, Model: CNN3, Experiment: SGD, Mean: 0.5395800000000001, Std: 0.003446389415025514

Data: cifar100, Model: CNN6, Experiment: SGD, Mean: 0.60876, Std: 0.0024735399733984602

Data: cifar100, Model: CNN9, Experiment: SGD, Mean: 0.6294, Std: 0.0017720045146669178

Data: cifar100, Model: CNN15, Experiment: SGD, Mean: 0.6202399999999999, Std: 0.005275831687990057

Data: cifar100, Model: CNN3, Experiment: Student, Mean: 0.5326799999999999, Std: 0.001863759641155477

Data: cifar100, Model: CNN6, Experiment: Student, Mean: 0.6043000000000001, Std: 0.002896894889359968

Data: cifar100, Model: CNN9, Experiment: Student, Mean: 0.6103799999999999, Std: 0.004291107083259522

Data: cifar100, Model: CNN15, Experiment: Student, Mean: 0.58012, Std: 0.012322240056093677

Data: cifar100, Model: CNN3, Experiment: Baseline, Mean: 0.53564, Std: 0.004724658717833488

Data: cifar100, Model: CNN6, Experiment: Baseline, Mean: 0.6107800000000001, Std: 0.004451247016286563

Data: cifar100, Model: CNN9, Experiment: Baseline, Mean: 0.63246, Std: 0.005168597488681034

Data: cifar100, Model: CNN15, Experiment: Baseline, Mean: 0.62052, Std: 0.006092749789709074

======================== Above is version: 7a50872733aaac9ec8039acd803848d9c14022b6 ====================
